# V4 2D basket — MPI strong-scaling timing (mean over 3 reps)
# rho=0.0 K=100.0 T=1.0 r=0.05 sigma1=0.2 sigma2=0.2 N_x=64 N_y=64 N_t=100
np,N_x,N_y,N_t,ndof_total,price_atm,assembly_time_s,solve_time_s,total_time_s,speedup,efficiency,n_repeat
1,64,64,100,24833,3.5905955464,16.41394116266667,8.768266133666666,26.280033856333333,1.0,1.0,3
2,64,64,100,24833,3.5905955373,8.351185246666667,5.181578397333333,14.18597347,1.8525365151647455,0.9262682575823727,3
4,64,64,100,24833,3.5905960636,4.292403822000001,3.288368405,7.983043959,3.2919816039225864,0.8229954009806466,3
8,64,64,100,24833,3.5905957474,2.180025614333333,2.5996882313333334,5.069663350666667,5.183782834983999,0.6479728543729999,3
