z,S_equivalent,u,u_z,sigma
-0.5400000000,nan,1.4479763230,-0.8902646441,0.2
-0.5200000000,nan,1.4301189460,-0.8950578530,0.2
-0.5000000000,nan,1.4121740090,-0.8990641920,0.2
-0.4800000000,nan,1.3941563790,-0.9023707201,0.2
-0.4600000000,nan,1.3760791800,-0.9050636489,0.2
-0.4400000000,nan,1.3579538330,-0.9072264348,0.2
-0.4200000000,nan,1.3397901230,-0.9089381352,0.2
-0.4000000000,nan,1.3215963070,-0.9102720788,0.2
-0.3800000000,nan,1.3033792400,-0.9112948838,0.2
-0.3600000000,nan,1.2851445120,-0.9120658199,0.2
-0.3400000000,nan,1.2668966070,-0.9126365443,0.2
-0.3200000000,nan,1.2486390500,-0.9130510961,0.2
-0.3000000000,nan,1.2303745630,-0.9133462480,0.2
-0.2800000000,nan,1.2121052000,-0.9135520322,0.2
-0.2600000000,nan,1.1938324820,-0.9136922462,0.2
-0.2400000000,nan,1.1755575100,-0.9137857519,0.2
-0.2200000000,nan,1.1572810520,-0.9138464056,0.2
-0.2000000000,nan,1.1390036540,-0.9138846594,0.2
-0.1800000000,nan,1.1207256650,-0.9139087198,0.2
-0.1600000000,nan,1.1024473050,-0.9139223718,0.2
-0.1400000000,nan,1.0841687700,-0.9139306267,0.2
-0.1200000000,nan,1.0658900800,-0.9139360636,0.2
-0.1000000000,nan,1.0476113280,-0.9139371254,0.2
-0.0800000000,nan,1.0293325950,-0.9139392142,0.2
-0.0600000000,nan,1.0110537590,-0.9139409752,0.2
-0.0400000000,nan,0.9927749562,-0.9139387856,0.2
-0.0200000000,nan,0.9744962077,-0.9139404392,0.2
0.0000000000,nan,0.9562173386,-0.9139419597,0.2
0.0200000000,nan,0.9379385293,-0.9139388085,0.2
0.0400000000,nan,0.9196597863,-0.9139401419,0.2
0.0600000000,nan,0.9013809237,-0.9139422780,0.2
0.0800000000,nan,0.8831020952,-0.9139394139,0.2
0.1000000000,nan,0.8648233471,-0.9139394301,0.2
0.1200000000,nan,0.8465445180,-0.9139418701,0.2
0.1400000000,nan,0.8282656723,-0.9139405447,0.2
0.1600000000,nan,0.8099868962,-0.9139392902,0.2
0.1800000000,nan,0.7917081007,-0.9139407780,0.2
0.2000000000,nan,0.7734292651,-0.9139411389,0.2
0.2200000000,nan,0.7551504551,-0.9139400351,0.2
0.2400000000,nan,0.7368716636,-0.9139400608,0.2
0.2600000000,nan,0.7185928527,-0.9139407393,0.2
0.2800000000,nan,0.7003140341,-0.9139406381,0.2
0.3000000000,nan,0.6820352272,-0.9139402560,0.2
0.3200000000,nan,0.6637564238,-0.9139403223,0.2
0.3400000000,nan,0.6454776143,-0.9139405288,0.2
0.3600000000,nan,0.6271988027,-0.9139405079,0.2
0.3800000000,nan,0.6089199940,-0.9139404014,0.2
0.4000000000,nan,0.5906411866,-0.9139403955,0.2
0.4200000000,nan,0.5723623782,-0.9139404453,0.2
0.4400000000,nan,0.5540835688,-0.9139404594,0.2
0.4600000000,nan,0.5358047598,-0.9139404406,0.2
0.4800000000,nan,0.5175259512,-0.9139404286,0.2
0.5000000000,nan,0.4992471426,-0.9139404328,0.2
0.5200000000,nan,0.4809683339,-0.9139404393,0.2
0.5400000000,nan,0.4626895251,-0.9139404389,0.2
0.5600000000,nan,0.4444107163,-0.9139404222,0.2
0.5800000000,nan,0.4261319082,-0.9139403035,0.2
0.6000000000,nan,0.4078531042,-0.9139395839,0.2
0.6200000000,nan,0.3895743248,-0.9139361319,0.2
0.6400000000,nan,0.3712956589,-0.9139226724,0.2
0.6600000000,nan,0.3530174179,-0.9138786151,0.2
0.6800000000,nan,0.3347405143,-0.9137543109,0.2
0.7000000000,nan,0.3164672455,-0.9134456371,0.2
0.7200000000,nan,0.2982026888,-0.9127596270,0.2
0.7400000000,nan,0.2799568604,-0.9113764085,0.2
0.7600000000,nan,0.2617476325,-0.9088174863,0.2
0.7800000000,nan,0.2436041609,-0.9044331438,0.2
0.8000000000,nan,0.2255703067,-0.8974205261,0.2
0.8200000000,nan,0.2077073399,-0.8868783149,0.2
0.8400000000,nan,0.1900951741,-0.8718951397,0.2
0.8600000000,nan,0.1728315343,-0.8516597161,0.2
0.8800000000,nan,0.1560287855,-0.8255741202,0.2
0.9000000000,nan,0.1398085695,-0.7933496519,0.2
0.9200000000,nan,0.1242947994,-0.7550678712,0.2
0.9400000000,nan,0.1096058547,-0.7111964644,0.2
0.9600000000,nan,0.0958469408,-0.6625584592,0.2
0.9800000000,nan,0.0831035163,-0.6102616205,0.2
1.0000000000,nan,0.0714364760,-0.5556008083,0.2
1.0200000000,nan,0.0608794840,-0.4999487742,0.2
1.0400000000,nan,0.0514385251,-0.4446503684,0.2
1.0600000000,nan,0.0430934692,-0.3909321771,0.2
1.0800000000,nan,0.0358012380,-0.3398353121,0.2
1.1000000000,nan,0.0295000567,-0.2921745142,0.2
1.1200000000,nan,0.0241142574,-0.2485227568,0.2
1.1400000000,nan,0.0195591465,-0.2092176495,0.2
1.1600000000,nan,0.0157455514,-0.1743842943,0.2
1.1800000000,nan,0.0125837747,-0.1439687458,0.2
1.2000000000,nan,0.0099868016,-0.1177765937,0.2
1.2200000000,nan,0.0078727109,-0.0955121250,0.2
1.2400000000,nan,0.0061663166,-0.0768147101,0.2
1.2600000000,nan,0.0048001225,-0.0612902767,0.2
1.2800000000,nan,0.0037147055,-0.0485368049,0.2
1.3000000000,nan,0.0028586503,-0.0381636314,0.2
1.3200000000,nan,0.0021881603,-0.0298049493,0.2
1.3400000000,nan,0.0016664524,-0.0231282594,0.2
1.3600000000,nan,0.0012630299,-0.0178387007,0.2
1.3800000000,nan,0.0009529043,-0.0136802195,0.2
1.4000000000,nan,0.0007158211,-0.0104344691,0.2
1.4200000000,nan,0.0005355256,-0.0079182096,0.2
1.4400000000,nan,0.0003990927,-0.0059798323,0.2
1.4600000000,nan,0.0002963323,-0.0044954860,0.2
1.4800000000,nan,0.0002192733,-0.0033651514,0.2
1.5000000000,nan,0.0001617262,-0.0025088931,0.2
1.5200000000,nan,0.0001189176,-0.0018634309,0.2
1.5400000000,nan,0.0000871890,-0.0013791042,0.2
1.5600000000,nan,0.0000637534,-0.0010172499,0.2
1.5800000000,nan,0.0000464990,-0.0007479880,0.2
1.6000000000,nan,0.0000338339,-0.0005483819,0.2
1.6200000000,nan,0.0000245637,-0.0004009351,0.2
1.6400000000,nan,0.0000177965,-0.0002923779,0.2
1.6600000000,nan,0.0000128686,-0.0002127000,0.2
1.6800000000,nan,0.0000092885,-0.0001543876,0.2
1.7000000000,nan,0.0000066931,-0.0001118266,0.2
1.7200000000,nan,0.0000048154,-0.0000808405,0.2
1.7400000000,nan,0.0000034595,-0.0000583342,0.2
1.7600000000,nan,0.0000024820,-0.0000420229,0.2
1.7800000000,nan,0.0000017786,-0.0000302255,0.2
1.8000000000,nan,0.0000012730,-0.0000217092,0.2
1.8200000000,nan,0.0000009102,-0.0000155729,0.2
1.8400000000,nan,0.0000006501,-0.0000111600,0.2
1.8600000000,nan,0.0000004638,-0.0000079940,0.2
1.8800000000,nan,0.0000003303,-0.0000057313,0.2
1.9000000000,nan,0.0000002345,-0.0000041274,0.2
1.9200000000,nan,0.0000001652,-0.0000030135,0.2
1.9400000000,nan,0.0000001140,-0.0000022833,0.2
1.9600000000,nan,0.0000000739,-0.0000018888,0.2
1.9800000000,nan,0.0000000385,-0.0000018479,0.2
-1.9800000000,nan,1.8251875650,-0.0010025966,0.3
-1.9600000000,nan,1.8251571650,-0.0020944262,0.3
-1.9400000000,nan,1.8251037880,-0.0033042021,0.3
-1.9200000000,nan,1.8250249970,-0.0046398684,0.3
-1.9000000000,nan,1.8249181940,-0.0061097218,0.3
-1.8800000000,nan,1.8247806090,-0.0077224151,0.3
-1.8600000000,nan,1.8246092970,-0.0094869588,0.3
-1.8400000000,nan,1.8244011300,-0.0114127221,0.3
-1.8200000000,nan,1.8241527880,-0.0135094314,0.3
-1.8000000000,nan,1.8238607530,-0.0157871672,0.3
-1.7800000000,nan,1.8235213010,-0.0182563592,0.3
-1.7600000000,nan,1.8231304990,-0.0209277790,0.3
-1.7400000000,nan,1.8226841900,-0.0238125296,0.3
-1.7200000000,nan,1.8221779970,-0.0269220332,0.3
-1.7000000000,nan,1.8216073090,-0.0302680153,0.3
-1.6800000000,nan,1.8209672770,-0.0338624855,0.3
-1.6600000000,nan,1.8202528100,-0.0377177154,0.3
-1.6400000000,nan,1.8194585680,-0.0418462118,0.3
-1.6200000000,nan,1.8185789610,-0.0462606863,0.3
-1.6000000000,nan,1.8176081410,-0.0509740208,0.3
-1.5800000000,nan,1.8165400000,-0.0559992275,0.3
-1.5600000000,nan,1.8153681720,-0.0613494047,0.3
-1.5400000000,nan,1.8140860240,-0.0670376871,0.3
-1.5200000000,nan,1.8126866640,-0.0730771908,0.3
-1.5000000000,nan,1.8111629360,-0.0794809519,0.3
-1.4800000000,nan,1.8095074260,-0.0862618600,0.3
-1.4600000000,nan,1.8077124620,-0.0934325853,0.3
-1.4400000000,nan,1.8057701230,-0.1010054988,0.3
-1.4200000000,nan,1.8036722420,-0.1089925864,0.3
-1.4000000000,nan,1.8014104190,-0.1174053570,0.3
-1.3800000000,nan,1.7989760280,-0.1262547427,0.3
-1.3600000000,nan,1.7963602290,-0.1355509937,0.3
-1.3400000000,nan,1.7935539880,-0.1453035658,0.3
-1.3200000000,nan,1.7905480870,-0.1555210021,0.3
-1.3000000000,nan,1.7873331480,-0.1662108086,0.3
-1.2800000000,nan,1.7838996540,-0.1773793242,0.3
-1.2600000000,nan,1.7802379750,-0.1890315855,0.3
-1.2400000000,nan,1.7763383910,-0.2011711870,0.3
-1.2200000000,nan,1.7721911270,-0.2138001384,0.3
-1.2000000000,nan,1.7677863860,-0.2269187181,0.3
-1.1800000000,nan,1.7631143790,-0.2405253261,0.3
-1.1600000000,nan,1.7581653720,-0.2546163358,0.3
-1.1400000000,nan,1.7529297250,-0.2691859474,0.3
-1.1200000000,nan,1.7473979350,-0.2842260447,0.3
-1.1000000000,nan,1.7415606840,-0.2997260554,0.3
-1.0800000000,nan,1.7354088920,-0.3156728192,0.3
-1.0600000000,nan,1.7289337710,-0.3320504655,0.3
-1.0400000000,nan,1.7221268740,-0.3488403014,0.3
-1.0200000000,nan,1.7149801590,-0.3660207153,0.3
-1.0000000000,nan,1.7074860450,-0.3835670977,0.3
-0.9800000000,nan,1.6996374750,-0.4014517817,0.3
-0.9600000000,nan,1.6914279740,-0.4196440076,0.3
-0.9400000000,nan,1.6828517150,-0.4381099144,0.3
-0.9200000000,nan,1.6739035770,-0.4568125611,0.3
-0.9000000000,nan,1.6645792120,-0.4757119815,0.3
-0.8800000000,nan,1.6548750980,-0.4947652760,0.3
-0.8600000000,nan,1.6447886010,-0.5139267430,0.3
-0.8400000000,nan,1.6343180280,-0.5331480526,0.3
-0.8200000000,nan,1.6234626790,-0.5523784664,0.3
-0.8000000000,nan,1.6122228900,-0.5715651030,0.3
-0.7800000000,nan,1.6006000750,-0.5906532532,0.3
-0.7600000000,nan,1.5885967600,-0.6095867440,0.3
-0.7400000000,nan,1.5762166050,-0.6283083520,0.3
-0.7200000000,nan,1.5634644250,-0.6467602643,0.3
-0.7000000000,nan,1.5503461940,-0.6648845861,0.3
-0.6800000000,nan,1.5368690420,-0.6826238894,0.3
-0.6600000000,nan,1.5230412390,-0.6999218002,0.3
-0.6400000000,nan,1.5088721700,-0.7167236156,0.3
-0.6200000000,nan,1.4943722940,-0.7329769449,0.3
-0.6000000000,nan,1.4795530920,-0.7486323629,0.3
-0.5800000000,nan,1.4644270000,-0.7636440668,0.3
-0.5600000000,nan,1.4490073300,-0.7779705219,0.3
-0.5400000000,nan,1.4333081790,-0.7915750830,0.3
-0.5200000000,nan,1.4173443260,-0.8044265763,0.3
-0.5000000000,nan,1.4011311160,-0.8164998258,0.3
-0.4800000000,nan,1.3846843330,-0.8277761071,0.3
-0.4600000000,nan,1.3680200720,-0.8382435127,0.3
-0.4400000000,nan,1.3511545930,-0.8478972130,0.3
-0.4200000000,nan,1.3341041830,-0.8567395973,0.3
-0.4000000000,nan,1.3168850090,-0.8647802836,0.3
-0.3800000000,nan,1.2995129720,-0.8720359864,0.3
-0.3600000000,nan,1.2820035690,-0.8785302362,0.3
-0.3400000000,nan,1.2643717620,-0.8842929500,0.3
-0.3200000000,nan,1.2466318510,-0.8893598547,0.3
-0.3000000000,nan,1.2287973680,-0.8937717708,0.3
-0.2800000000,nan,1.2108809800,-0.8975737818,0.3
-0.2600000000,nan,1.1928944170,-0.9008142727,0.3
-0.2400000000,nan,1.1748484100,-0.9035439705,0.3
-0.2200000000,nan,1.1567526580,-0.9058147698,0.3
-0.2000000000,nan,1.1386158190,-0.9076788199,0.3
-0.1800000000,nan,1.1204455050,-0.9091874483,0.3
-0.1600000000,nan,1.1022483210,-0.9103897108,0.3
-0.1400000000,nan,1.0840299170,-0.9113330149,0.3
-0.1200000000,nan,1.0657950000,-0.9120599548,0.3
-0.1000000000,nan,1.0475475190,-0.9126095852,0.3
-0.0800000000,nan,1.0292906170,-0.9130187398,0.3
-0.0600000000,nan,1.0110267690,-0.9133148023,0.3
-0.0400000000,nan,0.9927580247,-0.9135248685,0.3
-0.0200000000,nan,0.9744857742,-0.9136729435,0.3
0.0000000000,nan,0.9562111070,-0.9137709441,0.3
0.0200000000,nan,0.9379349364,-0.9138351386,0.3
0.0400000000,nan,0.9196577015,-0.9138790819,0.3
0.0600000000,nan,0.9013797731,-0.9139046583,0.3
0.0800000000,nan,0.8831015151,-0.9139188760,0.3
0.1000000000,nan,0.8648230181,-0.9139293909,0.3
0.1200000000,nan,0.8465443395,-0.9139352314,0.3
0.1400000000,nan,0.8282656089,-0.9139369912,0.3
0.1600000000,nan,0.8099868598,-0.9139384659,0.3
0.1800000000,nan,0.7917080702,-0.9139399686,0.3
0.2000000000,nan,0.7734292611,-0.9139402999,0.3
0.2200000000,nan,0.7551504582,-0.9139401081,0.3
0.2400000000,nan,0.7368716568,-0.9139402386,0.3
0.2600000000,nan,0.7185928487,-0.9139404742,0.3
0.2800000000,nan,0.7003140378,-0.9139404942,0.3
0.3000000000,nan,0.6820352289,-0.9139404135,0.3
0.3200000000,nan,0.6637564213,-0.9139403981,0.3
0.3400000000,nan,0.6454776130,-0.9139404332,0.3
0.3600000000,nan,0.6271988040,-0.9139404517,0.3
0.3800000000,nan,0.6089199949,-0.9139404444,0.3
0.4000000000,nan,0.5906411862,-0.9139404344,0.3
0.4200000000,nan,0.5723623775,-0.9139404318,0.3
0.4400000000,nan,0.5540835689,-0.9139404160,0.3
0.4600000000,nan,0.5358047609,-0.9139402709,0.3
0.4800000000,nan,0.5175259581,-0.9139394807,0.3
0.5000000000,nan,0.4992471817,-0.9139362088,0.3
0.5200000000,nan,0.4809685097,-0.9139251228,0.3
0.5400000000,nan,0.4626901768,-0.9138931317,0.3
0.5600000000,nan,0.4444127844,-0.9138122868,0.3
0.5800000000,nan,0.4261376853,-0.9136296165,0.3
0.6000000000,nan,0.4078675998,-0.9132546028,0.3
0.6200000000,nan,0.3896075012,-0.9125461285,0.3
0.6400000000,nan,0.3713657546,-0.9113016467,0.3
0.6600000000,nan,0.3531554353,-0.9092516696,0.3
0.6800000000,nan,0.3349956879,-0.9060622323,0.3
0.7000000000,nan,0.3169129460,-0.9013467998,0.3
0.7200000000,nan,0.2989418159,-0.8946874371,0.3
0.7400000000,nan,0.2811254485,-0.8856633510,0.3
0.7600000000,nan,0.2635152818,-0.8738835642,0.3
0.7800000000,nan,0.2461701060,-0.8590197545,0.3
0.8000000000,nan,0.2291544916,-0.8408353055,0.3
0.8200000000,nan,0.2125366938,-0.8192072799,0.3
0.8400000000,nan,0.1963862005,-0.7941391478,0.3
0.8600000000,nan,0.1807711278,-0.7657634157,0.3
0.8800000000,nan,0.1657556638,-0.7343345674,0.3
0.9000000000,nan,0.1513977451,-0.7002137561,0.3
0.9200000000,nan,0.1377471136,-0.6638473700,0.3
0.9400000000,nan,0.1248438503,-0.6257419073,0.3
0.9600000000,nan,0.1127174373,-0.5864375739,0.3
0.9800000000,nan,0.1013863474,-0.5464827386,0.3
1.0000000000,nan,0.0908581277,-0.5064109340,0.3
1.0200000000,nan,0.0811299100,-0.4667215689,0.3
1.0400000000,nan,0.0721892650,-0.4278650044,0.3
1.0600000000,nan,0.0640153098,-0.3902321757,0.3
1.0800000000,nan,0.0565799780,-0.3541485760,0.3
1.1000000000,nan,0.0498493668,-0.3198721444,0.3
1.1200000000,nan,0.0437850922,-0.2875944335,0.3
1.1400000000,nan,0.0383455895,-0.2574443546,0.3
1.1600000000,nan,0.0334873180,-0.2294937911,0.3
1.1800000000,nan,0.0291658378,-0.2037644206,0.3
1.2000000000,nan,0.0253367412,-0.1802351648,0.3
1.2200000000,nan,0.0219564312,-0.1588497890,0.3
1.2400000000,nan,0.0189827496,-0.1395242780,0.3
1.2600000000,nan,0.0163754601,-0.1221537153,0.3
1.2800000000,nan,0.0140966010,-0.1066184864,0.3
1.3000000000,nan,0.0121107207,-0.0927897040,0.3
1.3200000000,nan,0.0103850128,-0.0805338150,0.3
1.3400000000,nan,0.0088893681,-0.0697163989,0.3
1.3600000000,nan,0.0075963569,-0.0602052015,0.3
1.3800000000,nan,0.0064811600,-0.0518724697,0.3
1.4000000000,nan,0.0055214581,-0.0445966692,0.3
1.4200000000,nan,0.0046972932,-0.0382636682,0.3
1.4400000000,nan,0.0039909114,-0.0327674756,0.3
1.4600000000,nan,0.0033865942,-0.0280106125,0.3
1.4800000000,nan,0.0028704869,-0.0239041942,0.3
1.5000000000,nan,0.0024304264,-0.0203677871,0.3
1.5200000000,nan,0.0020557754,-0.0173291001,0.3
1.5400000000,nan,0.0017372624,-0.0147235579,0.3
1.5600000000,nan,0.0014668331,-0.0124937974,0.3
1.5800000000,nan,0.0012375105,-0.0105891195,0.3
1.6000000000,nan,0.0010432683,-0.0089649221,0.3
1.6200000000,nan,0.0008789137,-0.0075821344,0.3
1.6400000000,nan,0.0007399829,-0.0064066668,0.3
1.6600000000,nan,0.0006226470,-0.0054088873,0.3
1.6800000000,nan,0.0005236274,-0.0045631316,0.3
1.7000000000,nan,0.0004401217,-0.0038472522,0.3
1.7200000000,nan,0.0003697373,-0.0032422083,0.3
1.7400000000,nan,0.0003104334,-0.0027316977,0.3
1.7600000000,nan,0.0002604694,-0.0023018334,0.3
1.7800000000,nan,0.0002183601,-0.0019408608,0.3
1.8000000000,nan,0.0001828350,-0.0016389195,0.3
1.8200000000,nan,0.0001528033,-0.0013878461,0.3
1.8400000000,nan,0.0001273211,-0.0011810205,0.3
1.8600000000,nan,0.0001055625,-0.0010132561,0.3
1.8800000000,nan,0.0000867909,-0.0008807351,0.3
1.9000000000,nan,0.0000703331,-0.0007809928,0.3
1.9200000000,nan,0.0000555512,-0.0007129560,0.3
1.9400000000,nan,0.0000418148,-0.0006770396,0.3
1.9600000000,nan,0.0000284696,-0.0006753123,0.3
1.9800000000,nan,0.0000148023,-0.0007117402,0.3
