z,S_equivalent,u,u_z,sigma
0.1400000000,nan,0.8282656765,-0.9139427011,0.05
0.1600000000,nan,0.8099868554,-0.9139386183,0.05
0.1800000000,nan,0.7917081318,-0.9139395428,0.05
0.2000000000,nan,0.7734292736,-0.9139428645,0.05
0.2200000000,nan,0.7551504172,-0.9139396152,0.05
0.2400000000,nan,0.7368716890,-0.9139386239,0.05
0.2600000000,nan,0.7185928723,-0.9139424525,0.05
0.2800000000,nan,0.7003139909,-0.9139408998,0.05
0.3000000000,nan,0.6820352363,-0.9139381709,0.05
0.3200000000,nan,0.6637564641,-0.9139413859,0.05
0.3400000000,nan,0.6454775808,-0.9139420938,0.05
0.3600000000,nan,0.6271987804,-0.9139385329,0.05
0.3800000000,nan,0.6089200395,-0.9139398826,0.05
0.4000000000,nan,0.5906411850,-0.9139426366,0.05
0.4200000000,nan,0.5723623341,-0.9139398143,0.05
0.4400000000,nan,0.5540835925,-0.9139385494,0.05
0.4600000000,nan,0.5358047921,-0.9139420156,0.05
0.4800000000,nan,0.5175259119,-0.9139416019,0.05
0.5000000000,nan,0.4992471280,-0.9139382667,0.05
0.5200000000,nan,0.4809683812,-0.9139401989,0.05
0.5400000000,nan,0.4626895200,-0.9139428299,0.05
0.5600000000,nan,0.4444106680,-0.9139397041,0.05
0.5800000000,nan,0.4261319319,-0.9139381323,0.05
0.6000000000,nan,0.4078531427,-0.9139421127,0.05
0.6200000000,nan,0.3895742474,-0.9139424260,0.05
0.6400000000,nan,0.3712954457,-0.9139378485,0.05
0.6600000000,nan,0.3530167334,-0.9139389362,0.05
0.6800000000,nan,0.3347378882,-0.9139439847,0.05
0.7000000000,nan,0.3164589740,-0.9139412890,0.05
0.7200000000,nan,0.2981802366,-0.9139357023,0.05
0.7400000000,nan,0.2799015459,-0.9139402898,0.05
0.7600000000,nan,0.2616226251,-0.9139460326,0.05
0.7800000000,nan,0.2433437046,-0.9139356776,0.05
0.8000000000,nan,0.2250651980,-0.9139163809,0.05
0.8200000000,nan,0.2067870494,-0.9138840718,0.05
0.8400000000,nan,0.1885098351,-0.9137353811,0.05
0.8600000000,nan,0.1702376342,-0.9131961445,0.05
0.8800000000,nan,0.1519819893,-0.9116520803,0.05
0.9000000000,nan,0.1337715509,-0.9076316679,0.05
0.9200000000,nan,0.1156767226,-0.8980149583,0.05
0.9400000000,nan,0.0978509526,-0.8776524345,0.05
0.9600000000,nan,0.0805706252,-0.8402431266,0.05
0.9800000000,nan,0.0642412276,-0.7806066373,0.05
1.0000000000,nan,0.0493463597,-0.6973648043,0.05
1.0200000000,nan,0.0363466354,-0.5944991903,0.05
1.0400000000,nan,0.0255663921,-0.4807855734,0.05
1.0600000000,nan,0.0171152124,-0.3673228756,0.05
1.0800000000,nan,0.0108734771,-0.2643758913,0.05
1.1000000000,nan,0.0065401768,-0.1789254287,0.05
1.1200000000,nan,0.0037164599,-0.1137245638,0.05
1.1400000000,nan,0.0019911942,-0.0678180425,0.05
1.1600000000,nan,0.0010037382,-0.0379079370,0.05
1.1800000000,nan,0.0004748768,-0.0198382279,0.05
1.2000000000,nan,0.0002102091,-0.0097043392,0.05
1.2200000000,nan,0.0000867032,-0.0044270281,0.05
1.2400000000,nan,0.0000331280,-0.0018769850,0.05
1.2600000000,nan,0.0000116238,-0.0007358624,0.05
1.2800000000,nan,0.0000036935,-0.0002646726,0.05
1.3000000000,nan,0.0000010369,-0.0000862323,0.05
1.3200000000,nan,0.0000002442,-0.0000248834,0.05
1.3400000000,nan,0.0000000416,-0.0000060729,0.05
1.3600000000,nan,0.0000000013,-0.0000011050,0.05
1.3800000000,nan,-0.0000000027,-0.0000000664,0.05
1.4000000000,nan,-0.0000000014,0.0000000555,0.05
1.4200000000,nan,-0.0000000004,0.0000000318,0.05
1.4400000000,nan,-0.0000000001,0.0000000106,0.05
1.4600000000,nan,-0.0000000000,0.0000000024,0.05
1.4800000000,nan,0.0000000000,0.0000000003,0.05
1.5000000000,nan,0.0000000000,-0.0000000001,0.05
1.5200000000,nan,0.0000000000,-0.0000000000,0.05
1.5400000000,nan,0.0000000000,-0.0000000000,0.05
1.5600000000,nan,-0.0000000000,-0.0000000000,0.05
1.5800000000,nan,-0.0000000000,-0.0000000000,0.05
1.6000000000,nan,-0.0000000000,0.0000000000,0.05
1.6200000000,nan,-0.0000000000,0.0000000000,0.05
1.6400000000,nan,-0.0000000000,0.0000000000,0.05
1.6600000000,nan,0.0000000000,0.0000000000,0.05
1.6800000000,nan,0.0000000000,-0.0000000000,0.05
1.7000000000,nan,0.0000000000,-0.0000000000,0.05
1.7200000000,nan,0.0000000000,-0.0000000000,0.05
1.7400000000,nan,-0.0000000000,-0.0000000000,0.05
1.7600000000,nan,-0.0000000000,0.0000000000,0.05
1.7800000000,nan,-0.0000000000,0.0000000000,0.05
1.8000000000,nan,0.0000000000,0.0000000000,0.05
1.8200000000,nan,0.0000000000,0.0000000000,0.05
1.8400000000,nan,0.0000000000,-0.0000000000,0.05
1.8600000000,nan,0.0000000000,-0.0000000000,0.05
1.8800000000,nan,-0.0000000000,-0.0000000000,0.05
1.9000000000,nan,-0.0000000000,0.0000000000,0.05
1.9200000000,nan,-0.0000000000,0.0000000000,0.05
1.9400000000,nan,-0.0000000000,0.0000000000,0.05
1.9600000000,nan,0.0000000000,0.0000000000,0.05
1.9800000000,nan,0.0000000000,-0.0000000000,0.05
-1.9800000000,nan,1.9775621490,-0.0000004103,0.1
-1.9600000000,nan,1.9775621360,-0.0000011252,0.1
-1.9400000000,nan,1.9775621040,-0.0000024235,0.1
-1.9200000000,nan,1.9775620390,-0.0000046622,0.1
-1.9000000000,nan,1.9775619170,-0.0000083787,0.1
-1.8800000000,nan,1.9775617040,-0.0000143687,0.1
-1.8600000000,nan,1.9775613430,-0.0000237922,0.1
-1.8400000000,nan,1.9775607520,-0.0000383166,0.1
-1.8200000000,nan,1.9775598100,-0.0000603077,0.1
-1.8000000000,nan,1.9775583400,-0.0000930801,0.1
-1.7800000000,nan,1.9775560870,-0.0001412225,0.1
-1.7600000000,nan,1.9775526910,-0.0002110144,0.1
-1.7400000000,nan,1.9775476460,-0.0003109524,0.1
-1.7200000000,nan,1.9775402530,-0.0004524049,0.1
-1.7000000000,nan,1.9775295500,-0.0006504151,0.1
-1.6800000000,nan,1.9775142360,-0.0009246701,0.1
-1.6600000000,nan,1.9774925630,-0.0013006486,0.1
-1.6400000000,nan,1.9774622100,-0.0018109553,0.1
-1.6200000000,nan,1.9774201250,-0.0024968381,0.1
-1.6000000000,nan,1.9773623370,-0.0034098700,0.1
-1.5800000000,nan,1.9772837300,-0.0046137590,0.1
-1.5600000000,nan,1.9771777860,-0.0061862251,0.1
-1.5400000000,nan,1.9770362810,-0.0082208532,0.1
-1.5200000000,nan,1.9768489520,-0.0108288009,0.1
-1.5000000000,nan,1.9766031290,-0.0141402039,0.1
-1.4800000000,nan,1.9762833440,-0.0183050868,0.1
-1.4600000000,nan,1.9758709260,-0.0234935600,0.1
-1.4400000000,nan,1.9753436020,-0.0298950577,0.1
-1.4200000000,nan,1.9746751230,-0.0377163690,0.1
-1.4000000000,nan,1.9738349470,-0.0471782221,0.1
-1.3800000000,nan,1.9727879950,-0.0585102225,0.1
-1.3600000000,nan,1.9714945380,-0.0719440119,0.1
-1.3400000000,nan,1.9699102340,-0.0877046172,0.1
-1.3200000000,nan,1.9679863530,-0.1060000922,0.1
-1.3000000000,nan,1.9656702300,-0.1270097173,0.1
-1.2800000000,nan,1.9629059650,-0.1508712081,0.1
-1.2600000000,nan,1.9596353820,-0.1776675708,0.1
-1.2400000000,nan,1.9557992620,-0.2074144233,0.1
