# V4 2D basket call-on-min — rho=0
# K=100 T=1 r=0.05 sigma1=0.2 sigma2=0.2
# N_x=64 N_y=64 N_t=500 p=1 delta_p=2
x1,x2,S1,S2,u_DPG,delta1,delta2
-2.953125,1.921875,5.217639967,683.3759764,5.079576694e-08,-5.101308442e-07,5.879443753e-10
-2.953125,2.015625,5.217639967,750.5416801,6.311078365e-08,-3.563882506e-07,5.342986247e-10
-2.953125,2.109375,5.217639967,824.3087744,7.900389984e-08,-1.8732402e-07,5.836451314e-10
-2.953125,2.203125,5.217639967,905.326078,5.098678631e-08,-1.588693424e-08,4.562900427e-10
-2.953125,2.296875,5.217639967,994.3061786,7.203146911e-08,1.325718587e-07,3.642471031e-10
-2.953125,2.390625,5.217639967,1092.031701,6.506197513e-08,2.37521994e-07,1.699908636e-10
-2.953125,2.484375,5.217639967,1199.36219,8.081895436e-08,3.194083181e-07,2.016281882e-10
-2.953125,2.578125,5.217639967,1317.241671,1.412496794e-08,3.696486612e-07,1.439749881e-11
-2.953125,2.671875,5.217639967,1446.706953,9.68714892e-08,3.158043379e-07,-2.053082502e-10
-2.953125,2.765625,5.217639967,1588.896749,1.284134794e-08,2.887313548e-07,9.668961772e-11
-2.953125,2.859375,5.217639967,1745.061689,-2.077214343e-08,2.071221667e-07,-3.317583171e-10
-2.953125,2.953125,5.217639967,1916.575322,8.151176601e-08,4.751032631e-08,-1.303993341e-10
-2.859375,-2.953125,5.730456443,5.217639967,1.888061111e-08,8.177325459e-08,2.965387319e-07
-2.859375,-2.859375,5.730456443,5.730456443,4.267975637e-08,2.42127445e-07,2.444136276e-07
-2.859375,-2.765625,5.730456443,6.293675158,5.952989844e-08,3.921464451e-07,1.892822957e-07
-2.859375,-2.671875,5.730456443,6.912249904,1.000810081e-07,4.953615505e-07,1.2626973e-07
-2.859375,-2.578125,5.730456443,7.591621356,1.449830895e-07,5.596837095e-07,6.223165918e-08
-2.859375,-2.484375,5.730456443,8.337764926,1.38777324e-07,5.978523655e-07,2.133741385e-08
-2.859375,-2.390625,5.730456443,9.157243322,1.395008373e-07,6.002634419e-07,-2.116597289e-08
-2.859375,-2.296875,5.730456443,10.05726427,1.271171441e-07,5.673336497e-07,-4.230812424e-08
-2.859375,-2.203125,5.730456443,11.0457439,1.052141527e-07,4.919303147e-07,-5.96395435e-08
-2.859375,-2.109375,5.730456443,12.13137638,8.802163912e-08,4.199668315e-07,-6.827164886e-08
-2.859375,-2.015625,5.730456443,13.32371041,7.656709986e-08,3.306165647e-07,-6.815634223e-08
-2.859375,-1.921875,5.730456443,14.63323316,7.970341005e-08,2.366760361e-07,-6.307538487e-08
-2.859375,-1.828125,5.730456443,16.07146254,4.398573437e-08,1.453628263e-07,-4.953119203e-08
-2.859375,-1.734375,5.730456443,17.65104849,5.221637209e-08,6.738982467e-08,-3.886475513e-08
-2.859375,-1.640625,5.730456443,19.38588426,4.877432514e-08,2.225562328e-08,-2.275061107e-08
-2.859375,-1.546875,5.730456443,21.29122862,3.6520168e-08,-5.387277103e-09,-1.022675354e-08
-2.859375,-1.453125,5.730456443,23.38384001,7.748023684e-08,-3.299211922e-09,1.536137648e-10
-2.859375,-1.359375,5.730456443,25.68212401,9.102452227e-08,1.031082904e-08,1.161910245e-08
-2.859375,-1.265625,5.730456443,28.20629517,9.020521621e-08,5.930368937e-08,1.560639199e-08
-2.859375,-1.171875,5.730456443,30.97855485,9.871994058e-08,1.227516937e-07,2.008207281e-08
-2.859375,-1.078125,5.730456443,34.02328646,1.343618233e-07,1.925490111e-07,1.871055289e-08
-2.859375,-0.984375,5.730456443,37.36726994,1.482954712e-07,2.623511755e-07,2.087805446e-08
-2.859375,-0.890625,5.730456443,41.03991731,1.429170885e-07,3.302284521e-07,1.450640419e-08
-2.859375,-0.796875,5.730456443,45.07353134,1.597764422e-07,3.838138581e-07,1.430483648e-08
-2.859375,-0.703125,5.730456443,49.50358969,1.376039225e-07,4.248529759e-07,7.207799429e-09
-2.859375,-0.609375,5.730456443,54.36905695,1.288940607e-07,4.555576257e-07,4.249021761e-09
-2.859375,-0.515625,5.730456443,59.71272734,1.352795075e-07,4.586116118e-07,2.874935394e-09
-2.859375,-0.421875,5.730456443,65.58160113,1.295094634e-07,4.398199481e-07,-1.474387214e-09
-2.859375,-0.328125,5.730456443,72.027298,3.242642661e-08,4.098071016e-07,-3.339064901e-09
-2.859375,-0.234375,5.730456443,79.10651109,1.231877267e-07,3.782998603e-07,-7.928886993e-09
-2.859375,-0.140625,5.730456443,86.88150563,2.372255299e-08,3.324030954e-07,1.471943828e-09
-2.859375,-0.046875,5.730456443,95.4206666,6.652517706e-08,2.640710844e-07,-1.262612229e-08
-2.859375,0.046875,5.730456443,104.7991002,1.229284356e-07,2.061006409e-07,5.20376674e-10
-2.859375,0.140625,5.730456443,115.0992945,-2.108537562e-08,1.740047883e-07,-6.492277455e-09
-2.859375,0.234375,5.730456443,126.4118448,1.04807585e-07,1.297766264e-07,-4.307540298e-09
-2.859375,0.328125,5.730456443,138.8362507,4.176893667e-08,1.025237295e-07,-2.125826466e-09
-2.859375,0.421875,5.730456443,152.4817911,4.139921193e-08,5.78351776e-08,-3.143931157e-09
-2.859375,0.515625,5.730456443,167.4684853,9.456764494e-08,1.729048437e-08,-3.298299611e-09
-2.859375,0.609375,5.730456443,183.9281489,1.044516621e-07,-1.240350625e-09,-2.759840613e-09
-2.859375,0.703125,5.730456443,202.0055528,9.36384721e-08,-5.006342055e-08,-2.914537263e-09
-2.859375,0.796875,5.730456443,221.8596969,1.213209706e-07,-1.073422086e-07,-2.973310599e-09
-2.859375,0.890625,5.730456443,243.6652083,1.188089684e-07,-1.592525487e-07,-2.917721025e-09
-2.859375,0.984375,5.730456443,267.6138775,1.082774473e-07,-2.180559228e-07,-2.977644658e-09
-2.859375,1.078125,5.730456443,293.916345,1.333702652e-07,-2.937270397e-07,-2.507133092e-09
-2.859375,1.171875,5.730456443,322.8039542,1.278554415e-07,-3.60103953e-07,-2.201633279e-09
-2.859375,1.265625,5.730456443,354.5307861,1.046981607e-07,-4.166574615e-07,-1.527516205e-09
-2.859375,1.359375,5.730456443,389.3758942,1.192160983e-07,-4.639051048e-07,-1.118234035e-09
-2.859375,1.453125,5.730456443,427.6457586,1.209761116e-07,-4.945054104e-07,-3.033110602e-10
-2.859375,1.546875,5.730456443,469.676982,1.319419112e-07,-4.936207408e-07,1.455902181e-10
-2.859375,1.640625,5.730456443,515.83925,1.29017285e-07,-4.67863455e-07,8.603636641e-10
-2.859375,1.734375,5.730456443,566.5385831,1.342146859e-07,-4.122653422e-07,1.174792005e-09
-2.859375,1.828125,5.730456443,622.2209072,1.54439956e-07,-3.255571438e-07,1.577823047e-09
-2.859375,1.921875,5.730456443,683.3759764,1.497530633e-07,-2.262254977e-07,1.650332149e-09
-2.859375,2.015625,5.730456443,750.5416801,1.986208754e-07,-1.046203006e-07,1.565352874e-09
-2.859375,2.109375,5.730456443,824.3087744,1.781392962e-07,2.02515636e-08,1.583231035e-09
-2.859375,2.203125,5.730456443,905.326078,1.696157242e-07,1.406510245e-07,1.296790935e-09
-2.859375,2.296875,5.730456443,994.3061786,1.844227103e-07,2.451361963e-07,9.80244433e-10
-2.859375,2.390625,5.730456443,1092.031701,2.272830084e-07,3.099085017e-07,4.523248927e-10
