# V5 discrete barrier call — weekly monitoring
# K=100 T=0.5 r=0.1 sigma=0.2 S_lower=95 S_upper=125
# N_monitoring=26
x,S,u_weekly
0.105,111.071061,4.008724199
0.12,112.7496852,3.743513189
0.135,114.4536784,3.395614808
0.15,116.1834243,2.97616451
0.165,117.9393119,2.497750192
0.18,119.7217363,1.977011203
0.195,121.5310986,1.442574797
0.21,123.367806,0.9416741197
0.225,125.2322716,0
0.24,127.124915,0
0.255,129.0461621,0
0.27,130.9964451,0
0.285,132.9762028,0
0.3,134.9858808,0
0.315,137.0259311,0
0.33,139.0968128,0
0.345,141.198992,0
0.36,143.3329415,0
0.375,145.4991415,0
0.39,147.6980794,0
0.405,149.93025,0
0.42,152.1961556,0
0.435,154.4963059,0
0.45,156.8312185,0
0.465,159.2014189,0
0.48,161.6074402,0
0.495,164.0498239,0
0.51,166.5291195,0
0.525,169.0458848,0
0.54,171.6006862,0
0.555,174.1940985,0
0.57,176.8267051,0
0.585,179.4990986,0
0.6,182.21188,0
0.615,184.96566,0
0.63,187.7610579,0
0.645,190.5987029,0
0.66,193.4792334,0
0.675,196.4032976,0
0.69,199.3715533,0
0.705,202.3846685,0
0.72,205.4433211,0
0.735,208.5481993,0
0.75,211.7000017,0
0.765,214.8994375,0
0.78,218.1472265,0
0.795,221.4440997,0
0.81,224.7907987,0
0.825,228.1880765,0
0.84,231.6366977,0
0.855,235.1374381,0
0.87,238.6910854,0
0.885,242.2984391,0
0.9,245.9603111,0
0.915,249.6775252,0
0.93,253.4509178,0
0.945,257.2813379,0
0.96,261.1696473,0
0.975,265.1167211,0
0.99,269.1234472,0
1.005,273.1907273,0
1.02,277.3194764,0
1.035,281.5106236,0
1.05,285.7651118,0
1.065,290.0838984,0
1.08,294.4679551,0
1.095,298.9182683,0
1.11,303.4358394,0
1.125,308.0216849,0
1.14,312.6768365,0
1.155,317.4023418,0
1.17,322.1992639,0
1.185,327.0686821,0
1.2,332.0116923,0
1.215,337.0294064,0
1.23,342.1229536,0
1.245,347.2934799,0
1.26,352.5421487,0
1.275,357.870141,0
1.29,363.2786556,0
1.305,368.7689094,0
1.32,374.3421377,0
1.335,379.9995946,0
1.35,385.7425531,0
