# V4 2D basket call-on-min — rho=0
# K=100 T=1 r=0.05 sigma1=0.2 sigma2=0.2
# N_x=32 N_y=32 N_t=500 p=1 delta_p=2
x1,x2,S1,S2,u_DPG,delta1,delta2
-2.90625,-2.90625,5.468039737,5.468039737,-5.133078067e-08,-1.605963087e-07,-1.606150445e-07
-2.90625,-2.71875,5.468039737,6.595714936,4.505251624e-08,-3.282879068e-07,-6.014596929e-09
-2.90625,-2.53125,5.468039737,7.955950872,-1.685074627e-07,-5.13994622e-07,-1.226291421e-07
-2.90625,-2.34375,5.468039737,9.596708604,-2.592302819e-08,-5.315909654e-07,9.13805714e-08
-2.90625,-2.15625,5.468039737,11.57584021,1.687430069e-07,-7.791519638e-07,-1.923529526e-07
-2.90625,-1.96875,5.468039737,13.96312863,-5.795130928e-07,-3.180282578e-07,3.392839718e-07
-2.90625,-1.78125,5.468039737,16.84274813,9.29391765e-07,-1.338364226e-06,-6.113667482e-07
-2.90625,-1.59375,5.468039737,20.31623228,-1.309244918e-06,8.494011175e-07,1.094172442e-06
-2.90625,-1.40625,5.468039737,24.50605392,2.256456179e-06,-1.040645981e-06,-1.327507252e-06
-2.90625,-1.21875,5.468039737,29.55994354,-2.365090397e-06,1.930495192e-06,1.648731671e-06
-2.90625,-1.03125,5.468039737,35.65609807,2.07909211e-06,-3.28971718e-06,-2.166804492e-06
-2.90625,-0.84375,5.468039737,43.00946406,-1.8036244e-06,-6.26796298e-06,1.419881085e-06
-2.90625,-0.65625,5.468039737,51.87931657,4.772362437e-07,9.169786184e-06,4.463951021e-07
-2.90625,-0.46875,5.468039737,62.57840096,5.705528011e-06,2.281107796e-06,-9.711601847e-07
-2.90625,-0.28125,5.468039737,75.4839602,-1.021856855e-05,-6.399400302e-06,1.782809135e-07
-2.90625,-0.09375,5.468039737,91.05103614,1.012658427e-05,-6.084959302e-07,1.983046801e-07
-2.90625,0.09375,5.468039737,109.828514,-3.534560353e-06,9.737442509e-07,-8.539358348e-08
-2.90625,0.28125,5.468039737,132.4784759,-2.907338025e-06,-5.298920331e-08,2.910950702e-08
-2.90625,0.46875,5.468039737,159.799545,8.662052235e-06,1.01030226e-05,3.221002014e-07
-2.90625,0.65625,5.468039737,192.755045,-5.637853289e-06,-1.123889458e-07,-5.560375168e-07
-2.90625,0.84375,5.468039737,232.506966,3.012053872e-06,-7.968854203e-06,2.764862186e-07
-2.90625,1.03125,5.468039737,280.4569356,-2.828175702e-07,4.960309429e-06,2.226303358e-08
-2.90625,1.21875,5.468039737,338.2956394,4.36179749e-07,2.766010848e-06,-5.370639852e-08
-2.90625,1.40625,5.468039737,408.0624335,1.617481101e-06,1.017969076e-07,8.821736703e-09
