x,S,u_h,u_exact,error
-1.359375,25.68212401,1.513031381e-11,4.229052474e-11,2.716021093e-11
-1.3359375,26.29115803,3.649587291e-11,9.468283437e-11,5.818696146e-11
-1.3125,26.91463487,8.647905393e-11,2.092062132e-10,1.227271592e-10
-1.2890625,27.55289705,2.013572472e-10,4.56205499e-10,2.548482518e-10
-1.265625,28.20629517,4.60812725e-10,9.81831257e-10,5.21018532e-10
-1.2421875,28.87518818,1.036784867e-09,2.085507406e-09,1.048722538e-09
-1.21875,29.55994354,2.29382801e-09,4.372136173e-09,2.078308163e-09
-1.1953125,30.2609374,4.99157299e-09,9.046729302e-09,4.055156311e-09
-1.171875,30.97855485,1.068588387e-08,1.847629177e-08,7.790407895e-09
-1.1484375,31.71319011,2.250961541e-08,3.724543916e-08,1.473582375e-08
-1.125,32.46524674,4.66653845e-08,7.410998025e-08,2.744459574e-08
-1.1015625,33.23513788,9.522961189e-08,1.455580878e-07,5.03284759e-08
-1.078125,34.02328646,1.913276708e-07,2.822040836e-07,9.087641281e-08
-1.0546875,34.83012544,3.785189223e-07,5.400940286e-07,1.615751064e-07
-1.03125,35.65609807,7.375209151e-07,1.020391897e-06,2.82870982e-07
-1.0078125,36.50165806,1.415495847e-06,1.903133329e-06,4.87637482e-07
-0.984375,37.36726994,2.676448176e-06,3.504206829e-06,8.277586526e-07
-0.9609375,38.25340921,4.98645165e-06,6.370051992e-06,1.383600342e-06
-0.9375,39.16056267,9.155282513e-06,1.143257699e-05,2.277294481e-06
-0.9140625,40.08922865,1.656771197e-05,2.025858903e-05,3.69087706e-06
-0.890625,41.03991731,2.955465399e-05,3.544500181e-05,5.890347823e-06
-0.8671875,42.0131509,5.197834936e-05,6.123494341e-05,9.256594047e-06
-0.84375,43.00946406,9.013884911e-05,0.0001044626123,1.432376316e-05
-0.8203125,44.02940411,0.0001541534424,0.0001759784374,2.182499493e-05
-0.796875,45.07353134,0.0002600184616,0.0002927628202,3.274435861e-05
-0.7734375,46.14241933,0.0004326356958,0.0004810080359,4.837234016e-05
-0.75,47.23665527,0.0007101740035,0.0007805343097,7.036030617e-05
-0.7265625,48.35684027,0.001150239376,0.001251006517,0.0001007671413
-0.703125,49.50358969,0.001838439738,0.001980528681,0.0001420889431
-0.6796875,50.67753349,0.002900046686,0.003097307307,0.0001972606206
-0.65625,51.87931657,0.00451556313,0.004785180109,0.0002696169783
-0.6328125,53.1095991,0.006941086634,0.007303887579,0.0003628009451
-0.609375,54.36905695,0.01053439106,0.01101499969,0.0004806086292
-0.5859375,55.65838198,0.01578760803,0.01641437335,0.0006267653264
-0.5625,56.97828247,0.02336724607,0.02417187977,0.0008046337031
-0.5390625,58.3294835,0.03416201206,0.03517887701,0.001016864951
-0.515625,59.71272734,0.04933847313,0.05060348817,0.001265015043
-0.4921875,61.12877386,0.07040400672,0.07195316672,0.001549159999
-0.46875,62.57840096,0.09927573434,0.1011432888,0.001867554462
-0.4453125,64.06240497,0.1383532469,0.1405696315,0.002216384656
-0.421875,65.58160113,0.190591956,0.1931816237,0.002589667684
-0.3984375,67.13682398,0.2595729244,0.2625522668,0.002979342394
-0.375,68.72892788,0.349564139,0.3529397207,0.003375581615
-0.3515625,70.35878743,0.465567516,0.469334848,0.003767331986
-0.328125,72.027298,0.6133455886,0.6174886464,0.004143057763
-0.3046875,73.73537614,0.7994219507,0.8039135834,0.00449163265
-0.28125,75.4839602,1.031050195,1.035853489,0.004803293561
-0.2578125,77.27401073,1.316147355,1.321217903,0.005070547928
-0.234375,79.10651109,1.663189702,1.668478619,0.005288916716
-0.2109375,80.98246793,2.081071113,2.086528516,0.005457402397
-0.1875,82.90291182,2.578926914,2.58450551,0.00557859605
-0.1640625,84.86889772,3.165928945,3.171587324,0.005658378849
-0.140625,86.88150563,3.8510603,3.856765525,0.005705225586
-0.1171875,88.94184116,4.64288047,4.648609645,0.005729174196
-0.09375,91.05103614,5.549293251,5.555033828,0.005740576711
-0.0703125,93.21024924,6.577330467,6.583079252,0.005748784738
-0.046875,95.4206666,7.73296427,7.738725209,0.005760939441
-0.0234375,97.6835025,9.020959375,9.026740403,0.005781028115
0,100,10.44477424,10.45058357,0.005809336943
