# Basket call-on-minimum N=256 correlation sweep, domain [-6,6]^2
# sigma1=0.2 sigma2=0.2 r=0.05 T=1.0 K=100.0 Nt=500
# MC: 2M paths, 252 steps, seed=42 (Phase MA-2 reference)
rho,N,Nt,DPG_price,MC_price,MC_se,abs_error,rel_error_pct
-0.8,256,500,0.88277153239,0.8072754643864929,0.0016864002950538921,0.07549606800350706,9.351958697379956
-0.5,256,500,1.7548926067,1.6812253709224725,0.0029973060580813283,0.07366723577752743,4.381758510883459
0.0,256,500,3.3756199011,3.29717111199438,0.0049514293074866544,0.07844878910561981,2.379275640874095
0.3,256,500,4.5478807442,4.46247730388218,0.006135182815102793,0.08540344031782077,1.9138123177348854
0.5,256,500,5.4779683097,5.387383060956387,0.006979700012053566,0.09058524874361229,1.681433224975305
0.8,256,500,7.2741648701,7.245351694681722,0.008459407142411422,0.02881317541827766,0.3976780787525785
