# Basket call-on-minimum rho=0.0 convergence, domain [-6,6]^2
# sigma1=0.2 sigma2=0.2 r=0.05 T=1.0 K=100.0 Nt=500
# MC: 2M paths, 252 steps, seed=42 (Phase MA-2 reference)
N,Nt,rho,DPG_price,MC_price,MC_se,abs_error,rel_error_pct,EOC_price
128,500,0.0,3.6509737237,3.29717111199438,0.0049514293074866544,0.3538026117056199,10.730489855942391,nan
192,500,0.0,3.4588442268,3.29717111199438,0.0049514293074866544,0.16167311480562008,4.903388672110131,1.931516821146535
256,500,0.0,3.3756199011,3.29717111199438,0.0049514293074866544,0.07844878910561981,2.379275640874095,2.5136444439662737
384,500,0.0,3.3203943144,3.29717111199438,0.0049514293074866544,0.023223202405620036,0.7043371913923168,3.0022168045725683
