# Basket Delta surfaces — N=256, rho=0.0, domain [-6,6]^2
# sigma1=0.2 sigma2=0.2 r=0.05 T=1.0 K=100.0 Nt=500
# ~50x50 subgrid of full 256x256 mesh; 2704 rows
x1,x2,S1,S2,u_DPG,delta1,delta2
-5.7421875,-5.2734375,0.3207743656,0.5125959766,-3.775602779e-07,-1.150952608e-05,-2.23218403e-06
-5.7421875,-5.0390625,0.3207743656,0.6479820303,-4.638268671e-07,-1.394377806e-05,-1.162514412e-06
-5.7421875,-4.8046875,0.3207743656,0.8191260383,-4.911264472e-07,-1.516167534e-05,-3.82529452e-07
-5.7421875,-4.5703125,0.3207743656,1.035472336,-4.952802578e-07,-1.49211018e-05,3.251955913e-07
-5.7421875,-4.3359375,0.3207743656,1.308959682,-4.364246997e-07,-1.277991065e-05,1.087756502e-06
-5.7421875,-4.1015625,0.3207743656,1.654680082,-2.477022035e-07,-8.520533851e-06,1.323349026e-06
-5.7421875,-3.8671875,0.3207743656,2.091711616,-3.022040963e-08,-2.443376415e-06,1.156264502e-06
-5.7421875,-3.6328125,0.3207743656,2.644171242,1.480672859e-07,5.210267932e-06,1.153154873e-06
-5.7421875,-3.3984375,0.3207743656,3.342545645,4.195003212e-07,1.408305675e-05,1.16297265e-06
-5.7421875,-3.1640625,0.3207743656,4.225373613,7.725750188e-07,2.51075895e-05,8.700301005e-07
-5.7421875,-2.9296875,0.3207743656,5.341372733,1.160438404e-06,3.35874253e-05,5.773818552e-07
-5.7421875,-2.6953125,0.3207743656,6.752127808,1.321781927e-06,4.041207623e-05,3.459741721e-07
-5.7421875,-2.4609375,0.3207743656,8.535489323,1.470668672e-06,4.549141028e-05,1.762726832e-07
-5.7421875,-2.2265625,0.3207743656,10.78986951,1.510064136e-06,4.70739762e-05,-8.55233344e-09
-5.7421875,-1.9921875,0.3207743656,13.6396731,1.371925315e-06,4.46221053e-05,-1.004737629e-07
-5.7421875,-1.7578125,0.3207743656,17.24216239,1.21700333e-06,3.769220114e-05,-1.898259807e-07
-5.7421875,-1.5234375,0.3207743656,21.79613556,8.779212283e-07,2.616253518e-05,-2.722646579e-07
-5.7421875,-1.2890625,0.3207743656,27.55289705,2.318086775e-07,1.106056126e-05,-2.563904322e-07
-5.7421875,-1.0546875,0.3207743656,34.83012544,-3.576745444e-07,-5.912213265e-06,-1.895210914e-07
-5.7421875,-0.8203125,0.3207743656,44.02940411,-7.65973041e-07,-2.331616263e-05,-1.553025757e-07
-5.7421875,-0.5859375,0.3207743656,55.65838198,-1.304563846e-06,-4.008653188e-05,-1.305829991e-07
-5.7421875,-0.3515625,0.3207743656,70.35878743,-1.888531762e-06,-5.43369723e-05,-8.531865581e-08
