# Phase MA-2: call-on-min basket finer mesh results
# sigma1=0.2 sigma2=0.2 r=0.05 T=1.0 K=100.0 Nt=500
# MC reference: 2M paths, 252 steps, seed=42
N,Nt,rho,DPG_price,MC_price,MC_se,rel_error,study
128,500,-0.8,0.88276333804,0.8072754643864929,0.0016864002950538921,0.09350943634943218,rho_sweep
128,500,-0.5,1.7548874005,1.6812253709224725,0.0029973060580813283,0.04381448843893533,rho_sweep
128,500,0.0,3.3756195229,3.29717111199438,0.0049514293074866544,0.023792641704351365,rho_sweep
128,500,0.3,4.5478794572,4.46247730388218,0.006135182815102793,0.019137834772520516,rho_sweep
128,500,0.5,5.4779657283,5.387383060956387,0.006979700012053566,0.016813853093181053,rho_sweep
128,500,0.8,7.2741648317,7.245351694681722,0.008459407142411422,0.003976775487576073,rho_sweep
16,500,0.0,5.6355199267,3.29717111199438,0.0049514293074866544,0.7091985023765444,convergence_rho0.0
32,500,0.0,4.1590266056,3.29717111199438,0.0049514293074866544,0.26139240710631617,convergence_rho0.0
64,500,0.0,3.650971043,3.29717111199438,0.0049514293074866544,0.10730408552912954,convergence_rho0.0
128,500,0.0,3.3756195229,3.29717111199438,0.0049514293074866544,0.023792641704351365,convergence_rho0.0
