# Margrabe exchange-option convergence — Phase MA-1
# sigma1=0.2 sigma2=0.2 rho=0.5 r=0.05 T=1.0 Nt=200
# Domain [-4,4]^2, sig_eff=0.200
# ATM exact price: 7.965567
N,Nt,h,L2_error,EOC,ATM_DPG,ATM_exact,ndof,formulation
8,200,1.0,2897.6241119,nan,43.8246807,7.965567455405798,417,ultraweak
16,200,0.5,1530.1396676,0.9212071117137931,21.563278829,7.965567455405798,1601,ultraweak
32,200,0.25,779.90012351,0.9723020599837188,12.513722469,7.965567455405798,6273,ultraweak
64,200,0.125,394.06180236,0.9848674683677106,8.9160752408,7.965567455405798,24833,ultraweak
128,200,0.0625,199.60264971,0.9812910388522209,7.9931254657,7.965567455405798,98817,ultraweak
