# Sub-C: near-degenerate rho, N=256 Nt=1000 domain [-3,3]^2
# sigma1=0.2 sigma2=0.2 r=0.05 T=1.0 K=100.0
rho,N,Nt,domain,DPG_price,MC_price,MC_se,abs_error,rel_error_pct,lambda_min
0.9,256,1000,"[-3,3]^2",8.2138619916,8.184287555554151,0.00910694074581939,0.02957443604584853,0.36135626766655154,0.0019999999999999996
0.95,256,1000,"[-3,3]^2",8.8231891163,8.849004689086723,0.009526859355695135,0.02581557278672264,0.29173419716412174,0.0010000000000000009
0.99,256,1000,"[-3,3]^2",9.4180338646,9.73706727788375,0.01003838821421555,0.31903341328374957,3.2764836082460365,0.0002000000000000002
