N_t,dt,V1_L2_error,V1_Linf_error,V2_L2_error,V2_Linf_error,V1_EOC_L2,V1_EOC_Linf,V2_EOC_L2,V2_EOC_Linf
25,0.04,0.06856580408,0.1358068399,0.1606189652,0.9762277947,nan,nan,nan,nan
50,0.02,0.0683304423,0.1359945375,0.1747116574,1.307237548,0.004960773087114947,-0.001992561202908123,-0.12133362318055807,-0.42123159479362376
100,0.01,0.06903481776,0.1360888206,0.2063439636,1.702993719,-0.014795704377742101,-0.0009998536272404369,-0.2400753609162782,-0.3815517861033774
200,0.005,0.06959112316,0.136136071,0.24289861,2.08957416,-0.011579122129620631,-0.000500820612280825,-0.23530299983374103,-0.2951358474526891
400,0.0025,0.06991949013,0.1361597235,0.2728612939,2.423710618,-0.006791372539461569,-0.0002506343853243006,-0.16781352489892729,-0.21400849517555753
800,0.00125,0.07009608914,0.1361715565,0.2944784293,2.726725414,-0.003639290033073165,-0.0001253723805036293,-0.10999420075616143,-0.16995196897257442
