# sigma=0.05, r=0.05, T=1.0, K=100.0, domain [-3.0,3.0], Nx=256, solver=V2 ultraweak
# plateau_flag=1 means spatial error dominates: exclude from EOC fit
Nx,Nt,dt,price_ATM,exact_ATM,ATM_error,L2_error,Linf_error,EOC_L2,EOC_Linf,plateau_flag
256,8,1.2500000000e-01,5.3424640000e+00,5.2832689876e+00,5.9195012350e-02,8.6310000000e-03,1.5503000000e-01,,,1
256,16,6.2500000000e-02,5.3388090000e+00,5.2832689876e+00,5.5540012350e-02,6.1884000000e-03,8.8508000000e-02,0.4800,0.8087,1
256,32,3.1250000000e-02,5.3378000000e+00,5.2832689876e+00,5.4531012350e-02,6.3459000000e-03,1.0771000000e-01,-0.0363,-0.2833,1
256,64,1.5625000000e-02,5.3383020000e+00,5.2832689876e+00,5.5033012350e-02,8.9381000000e-03,1.7049000000e-01,-0.4941,-0.6625,1
256,128,7.8125000000e-03,5.3397760000e+00,5.2832689876e+00,5.6507012350e-02,1.3805000000e-02,2.6418000000e-01,-0.6272,-0.6318,1
256,256,3.9062500000e-03,5.3416690000e+00,5.2832689876e+00,5.8400012350e-02,1.9901000000e-02,3.7721000000e-01,-0.5277,-0.5138,1
256,512,1.9531250000e-03,5.3431550000e+00,5.2832689876e+00,5.9886012350e-02,2.5420000000e-02,4.8371000000e-01,-0.3531,-0.3588,1
