# V4 2D basket — ATM price vs correlation rho
# K=100.0 T=1.0 r=0.05 sigma1=0.2 sigma2=0.2 S1_0=100.0 S2_0=100.0 N_x=32 N_y=32 N_t=500
# min_eig_theory = 0.5*sigma1^2*(1-|rho|)
rho,price_atm,min_eigenvalue_A,min_eig_theory,ndof_total,total_time_s
-0.8,2.2251290101,0.004,0.004,6273,82.151644147
-0.5,2.9174787531,0.01,0.010000000000000002,6273,55.477260728
-0.2,3.6484297383,0.016,0.016000000000000004,6273,54.349658502
0.0,4.1590266056,0.02,0.020000000000000004,6273,55.866534387
0.2,4.6899066001,0.016,0.016000000000000004,6273,54.933882995
0.5,5.5267775592,0.01,0.010000000000000002,6273,59.031864732
0.8,6.4166120744,0.004,0.004,6273,52.469133404
0.9,6.7258895952,0.002,0.002,6273,51.718408837
0.95,6.8830194791,0.001,0.001000000000000001,6273,53.621725606
