V1_N_x,V1_h,V1_ndof,V1_price,V1_L2_error,V1_Linf_error,V1_EOC_L2,V1_EOC_Linf,V2_N_x,V2_h,V2_total_ndof,V2_price,V2_L2_error,V2_Linf_error,V2_EOC_L2,V2_EOC_Linf
8,0.75,9,6.807608786,69.74871859,97.53356754,nan,nan,4,1.5,97,66.92467353,134.7417697,116.0433125,nan,nan
16,0.375,17,9.037667024,17.85379577,29.17268982,1.9659358841564734,1.7412804142820453,8,0.75,189,28.07463376,25.43214666,37.6765138,2.405472006596433,1.6229259995425511
32,0.1875,33,10.1435434,4.489500516,8.003675226,1.9916039776281622,1.8658838819897028,16,0.375,373,15.84401745,5.383566881,18.00002584,2.240018989273135,1.0656665012313573
64,0.09375,65,10.37752678,1.123961637,2.099460954,1.9979621509658385,1.9306436695704619,32,0.1875,741,11.94656807,1.438925983,10.01218011,1.9035699637311676,0.8462428284804032
128,0.046875,129,10.43234557,0.2810683458,0.5379588856,1.9995999041954267,1.9644511352786997,,,,,,,,
