# V4 2D basket — spatial convergence study at ATM (K=100, rho=0)
# sigma1=0.2 sigma2=0.2 r=0.05 T=1.0 N_t=500
# MC reference: 2,000,000 paths, 252 steps, seed=42
# EOC = log2(err[N/2]/err[N])  (expected ~1 for L2(0) trial)
N_x,N_y,h,ndof_total,price_atm,MC_ref,MC_se,abs_error,rel_error,EOC,total_time_s
8,8,0.75,417,10.234867263,3.2971711119947136,0.004951429307486921,6.937696151005286,2.1041359138950293,nan,6.633570152
16,16,0.375,1601,5.6355199267,3.2971711119947136,0.004951429307486921,2.338348814705286,0.7091985023763715,1.5689665018361443,14.163021138
32,32,0.1875,6273,4.1590266056,3.2971711119947136,0.004951429307486921,0.8618554936052867,0.2613924071061886,1.4399722551644414,55.174864159
64,64,0.09375,24833,3.6509710417,3.2971711119947136,0.004951429307486921,0.3537999297052865,0.10730408513474013,1.2845122330602738,285.81299587
