# V4 basket spatial refinement: K=100 T=1 r=0.05 sigma1=sigma2=0.2
# MC: exact terminal sampling, n=10_000_000, seed=42
rho,N,h,ndof,Nt,price_ATM,mc_ref,mc_se,mc_95ci_low,mc_95ci_high,abs_error,rel_error,EOC,inside_ci
0.0000000000e+00,16,3.7500000000e-01,1601,500,5.6355199267e+00,3.2952557760e+00,2.2127078405e-03,3.2909188686e+00,3.2995926834e+00,2.3402641507e+00,7.1019195770e-01,nan,0
0.0000000000e+00,32,1.8750000000e-01,6273,500,4.1590266056e+00,3.2952557760e+00,2.2127078405e-03,3.2909188686e+00,3.2995926834e+00,8.6377082959e-01,2.6212557941e-01,1.4379508779e+00,0
0.0000000000e+00,64,9.3750000000e-02,24833,500,3.6509710417e+00,3.2952557760e+00,2.2127078405e-03,3.2909188686e+00,3.2995926834e+00,3.5571526569e-01,1.0794769507e-01,1.2799257064e+00,0
5.0000000000e-01,16,3.7500000000e-01,1601,500,6.4898949180e+00,5.3804681038e+00,3.1199355197e-03,5.3743530302e+00,5.3865831774e+00,1.1094268142e+00,2.0619522182e-01,nan,0
5.0000000000e-01,32,1.8750000000e-01,6273,500,5.5267775592e+00,5.3804681038e+00,3.1199355197e-03,5.3743530302e+00,5.3865831774e+00,1.4630945538e-01,2.7192700070e-02,2.9227195870e+00,0
5.0000000000e-01,64,9.3750000000e-02,24833,500,5.5642825767e+00,5.3804681038e+00,3.1199355197e-03,5.3743530302e+00,5.3865831774e+00,1.8381447288e-01,3.4163286416e-02,-3.2922735568e-01,0
