# Phase N2: vartheta and within-element gradient at tau=T
# vartheta = du/dx = sigma_x/diff
# vtheta_dx_raw = within-element d(vartheta)/dx via quarter-point FD
# gamma_exact = phi(d1)/(S*sigma*sqrt(tau))  [corrected formula]
x_c,S_c,vartheta_c,vtheta_dx_raw,delta_exact,gamma_exact
-2.994140625,5.007964579,2.233953941e-05,-0.002129867112,1.036244274e-48,1.519663995e-47
-2.982421875,5.066996881,5.375041576e-05,-0.01080523987,2.446227119e-48,3.531545925e-47
-2.970703125,5.126725037,4.199492159e-05,-0.006345909444,5.755025034e-48,8.178828675e-47
-2.958984375,5.187157249,-4.842924356e-06,0.00582668993,1.349315533e-47,1.887671122e-46
-2.947265625,5.248301818,-3.20987422e-05,0.003444926404,3.152795043e-47,4.341807065e-46
-2.935546875,5.310167139,-5.887538133e-05,-0.00729025285,7.341654284e-47,9.95230503e-46
-2.923828125,5.372761709,-6.017432355e-05,-0.002415415813,1.703758942e-46,2.273452077e-45
-2.912109375,5.436094124,-3.002922181e-05,0.005742588446,3.940383124e-46,5.175554637e-45
-2.900390625,5.500173081,-2.847670977e-05,0.007829130179,9.082071021e-46,1.174186167e-44
-2.888671875,5.565007381,-5.238638139e-05,0.003842584668,2.086159625e-45,2.654764429e-44
-2.876953125,5.630605927,-1.910775284e-05,-0.001771377805,4.775583418e-45,5.98169119e-44
-2.865234375,5.696977728,4.960167998e-05,-0.005387398908,1.089485995e-44,1.343169913e-43
-2.853515625,5.764131898,6.886027889e-05,-0.003606583958,2.477041283e-44,3.005708711e-43
-2.841796875,5.832077661,6.283272595e-05,0.006453624013,5.612563592e-44,6.703039725e-43
-2.830078125,5.900824347,6.792995499e-05,0.001812247978,1.267376948e-43,1.489723486e-42
-2.818359375,5.970381397,5.847433933e-05,-0.006402278067,2.852114083e-43,3.299502822e-42
-2.806640625,6.040758364,3.483325228e-05,-0.003218990128,6.396532437e-43,7.282832338e-42
-2.794921875,6.111964912,7.70440252e-06,0.007234744665,1.429680545e-42,1.601994748e-41
-2.783203125,6.18401082,-3.673216301e-05,0.003187265296,3.184565313e-42,3.511808553e-41
-2.771484375,6.256905983,-6.490564454e-05,-0.005022710654,7.06932797e-42,7.672016793e-41
