# Chain rule: x=log(S/K), vartheta=sigma_x/diff=du/dx
# Delta=dV/dS=vartheta/S, Gamma=d2V/dS2=(u_xx-u_x)/S2 (FD approx)
S,x,u_DPG,delta_DPG,gamma_DPG,delta_exact,gamma_exact,delta_error,gamma_error
5.037394258,-2.98828125,2.257617757e-06,5.322978585e-06,-3.349782491e-05,1.592813719e-48,2.317621948e-47,5.322978585e-06,3.349782491e-05
5.15685262,-2.96484375,2.673502792e-06,1.321383281e-06,-1.761708133e-05,8.81588431e-48,1.243068612e-46,1.321383281e-06,1.761708133e-05
5.279143855,-2.94140625,-1.951047097e-07,1.064056255e-06,2.460955819e-06,4.813160395e-47,6.576328193e-46,1.064056255e-06,2.460955819e-06
5.404335144,-2.91796875,1.203524711e-06,1.93042684e-06,-7.689530206e-06,2.592141978e-46,3.431687476e-45,1.93042684e-06,7.689530206e-06
5.532495259,-2.89453125,3.525739067e-06,-8.840970146e-07,-1.418758591e-05,1.377056268e-45,1.766313767e-44,8.840970146e-07,1.418758591e-05
5.663694603,-2.87109375,1.624741377e-06,-1.749257763e-06,2.489378819e-06,7.216215602e-45,8.967344424e-44,1.749257763e-06,2.489378819e-06
5.79800525,-2.84765625,-7.459487831e-07,-2.231420663e-07,7.437345004e-06,3.730205011e-44,4.490510545e-43,2.231420663e-07,7.437345004e-06
5.935500982,-2.82421875,4.638896924e-07,2.722600533e-07,-3.687529347e-06,1.902049321e-43,2.218009813e-42,2.722600533e-07,3.687529347e-06
6.076257332,-2.80078125,1.240296062e-06,-1.249204783e-06,1.408687108e-06,9.567031789e-43,1.080605264e-41,1.249204783e-06,1.408687108e-06
6.220351622,-2.77734375,2.975655152e-07,6.735254772e-07,9.741780368e-06,4.746784758e-42,5.192859442e-41,6.735254772e-07,9.741780368e-06
6.36786301,-2.75390625,6.005130918e-07,1.591553684e-06,-2.480467029e-06,2.323214251e-41,2.461398485e-40,1.591553684e-06,2.480467029e-06
6.518872529,-2.73046875,1.159470489e-06,-6.694579059e-08,-1.70569177e-05,1.121623047e-40,1.150782273e-39,6.694579059e-08,1.70569177e-05
6.673463136,-2.70703125,3.864355244e-07,-3.621042524e-06,-9.917272155e-06,5.341621028e-40,5.306892257e-39,3.621042524e-06,9.917272155e-06
6.831719754,-2.68359375,-2.805186826e-07,-3.169536861e-06,-4.932695728e-06,2.509390626e-39,2.413922099e-38,3.169536861e-06,4.932695728e-06
6.993729319,-2.66015625,1.118922147e-07,-5.200818156e-06,-1.716570666e-05,1.162875171e-38,1.083034032e-37,5.200818156e-06,1.716570666e-05
7.15958083,-2.63671875,-9.865683404e-07,-8.797503926e-06,-2.199810162e-05,5.315794037e-38,4.792883023e-37,8.797503926e-06,2.199810162e-05
7.329365397,-2.61328125,-3.943699463e-06,-1.25841747e-05,-1.583106732e-05,2.397033056e-37,2.092124033e-36,1.25841747e-05,1.583106732e-05
7.503176288,-2.58984375,-6.701496362e-06,-1.423698675e-05,-1.108861437e-05,1.066231122e-36,9.007699718e-36,1.423698675e-05,1.108861437e-05
7.681108986,-2.56640625,-9.131934328e-06,-1.648452373e-05,-1.710505242e-05,4.678436968e-36,3.825394637e-35,1.648452373e-05,1.710505242e-05
7.863261237,-2.54296875,-1.251624594e-05,-2.039625867e-05,-1.89517412e-05,2.024990383e-35,1.602413009e-34,2.039625867e-05,1.89517412e-05
8.049733103,-2.51953125,-1.570919842e-05,-2.347059259e-05,-2.108516109e-05,8.646066638e-35,6.620770785e-34,2.347059259e-05,2.108516109e-05
8.240627022,-2.49609375,-2.059959648e-05,-2.835307706e-05,-2.70580728e-05,3.641567113e-34,2.6982272e-33,2.835307706e-05,2.70580728e-05
8.436047861,-2.47265625,-2.720984995e-05,-3.392352542e-05,-2.772312962e-05,1.512978996e-33,1.084636842e-32,3.392352542e-05,2.772312962e-05
8.636102971,-2.44921875,-3.418917105e-05,-3.931690802e-05,-2.587570411e-05,6.200876114e-33,4.300570398e-32,3.931690802e-05,2.587570411e-05
