# Chain rule: x=log(S/K), vartheta=sigma_x/diff=du/dx
# Delta=dV/dS=vartheta/S, Gamma=d2V/dS2=(u_xx-u_x)/S2 (FD approx)
S,x,u_DPG,delta_DPG,gamma_DPG,delta_exact,gamma_exact,delta_error,gamma_error
5.007964579,-2.994140625,1.417152852e-06,4.460802199e-06,0.0001041318219,1.036244274e-48,1.519663995e-47,4.460802199e-06,0.0001041318219
5.066996881,-2.982421875,2.237442611e-06,1.060794333e-05,3.141257422e-05,2.446227119e-48,3.531545925e-47,1.060794333e-05,3.141257422e-05
5.126725037,-2.970703125,1.642954485e-06,8.191373887e-06,-9.605147655e-05,5.755025034e-48,8.178828675e-47,8.191373887e-06,9.605147655e-05
5.187157249,-2.958984375,2.262370452e-06,-9.336374672e-07,-0.0001176819969,1.349315533e-47,1.887671122e-46,9.336374672e-07,0.0001176819969
5.248301818,-2.947265625,2.398185535e-06,-6.116024443e-06,-8.254341209e-05,3.152795043e-47,4.341807065e-46,6.116024443e-06,8.254341209e-05
5.310167139,-2.935546875,9.02734439e-07,-1.108729345e-05,-4.084739616e-05,7.341654284e-47,9.95230503e-46,1.108729345e-05,4.084739616e-05
5.372761709,-2.923828125,1.081099454e-07,-1.119988691e-05,4.417837609e-05,1.703758942e-46,2.273452077e-45,1.119988691e-05,4.417837609e-05
5.436094124,-2.912109375,-2.740901033e-07,-5.524043757e-06,4.726788627e-05,3.940383124e-46,5.175554637e-45,5.524043757e-06,4.726788627e-05
5.500173081,-2.900390625,-2.115556439e-06,-5.177420665e-06,-3.017136846e-05,9.082071021e-46,1.174186167e-44,5.177420665e-06,3.017136846e-05
5.565007381,-2.888671875,-3.359832342e-06,-9.413533137e-06,1.36765311e-05,2.086159625e-45,2.654764429e-44,9.413533137e-06,1.36765311e-05
5.630605927,-2.876953125,-2.989547569e-06,-3.393551793e-06,0.0001373050777,4.775583418e-45,5.98169119e-44,3.393551793e-06,0.0001373050777
5.696977728,-2.865234375,-2.159132875e-06,8.706665596e-06,0.0001148832059,1.089485995e-44,1.343169913e-43,8.706665596e-06,0.0001148832059
5.764131898,-2.853515625,-1.197087179e-06,1.19463399e-05,1.529962239e-05,2.477041283e-44,3.005708711e-43,1.19463399e-05,1.529962239e-05
5.832077661,-2.841796875,-2.10034366e-07,1.077364356e-05,-3.177912602e-06,5.612563592e-44,6.703039725e-43,1.077364356e-05,3.177912602e-06
5.900824347,-2.830078125,6.999700228e-07,1.151194325e-05,-7.082762807e-06,1.267376948e-43,1.489723486e-42,1.151194325e-05,7.082762807e-06
5.970381397,-2.818359375,1.738668294e-06,9.794071005e-06,-4.105915515e-05,2.852114083e-43,3.299502822e-42,9.794071005e-06,4.105915515e-05
6.040758364,-2.806640625,2.726801501e-06,5.766370741e-06,-6.027203609e-05,6.396532437e-43,7.282832338e-42,5.766370741e-06,6.027203609e-05
6.111964912,-2.794921875,2.693637423e-06,1.260544298e-06,-8.171749209e-05,1.429680545e-42,1.601994748e-41,1.260544298e-06,8.171749209e-05
