# Phase N2: vartheta and within-element gradient at tau=T
# vartheta = du/dx = sigma_x/diff
# vtheta_dx_raw = within-element d(vartheta)/dx via quarter-point FD
# gamma_exact = phi(d1)/(S*sigma*sqrt(tau))  [corrected formula]
x_c,S_c,vartheta_c,vtheta_dx_raw,delta_exact,gamma_exact
-2.953125,5.217639967,-1.929321808e-05,0.0002855024054,2.063431881e-47,2.864077763e-46
-2.859375,5.730456443,2.92612626e-05,0.000432591269,1.643474225e-44,2.010135352e-43
-2.765625,6.293675158,5.700737227e-05,-0.0001439491596,1.051927824e-41,1.132504051e-40
-2.671875,6.912249904,2.530655604e-05,-0.001035711431,5.411179547e-39,5.121865774e-38
-2.578125,7.591621356,-3.317639205e-05,-0.001281729404,2.237262875e-36,1.859476047e-35
-2.484375,8.337764926,-7.172948505e-05,-0.0006665226765,7.43534643e-34,5.419097313e-33
-2.390625,9.157243322,-7.424478584e-05,-5.113725346e-05,1.986502398e-31,1.26776068e-30
-2.296875,10.05726427,-5.033304267e-05,0.000613149201,4.267076873e-29,2.380792646e-28
-2.203125,11.0457439,-3.575256327e-05,0.0009426605128,7.370232326e-27,3.589052682e-26
-2.109375,12.13137638,-4.962074942e-05,0.000516056141,1.023774105e-24,4.343222318e-24
-2.015625,13.32371041,-8.475971049e-05,-1.87698252e-05,1.143853891e-22,4.219084795e-22
-1.921875,14.63323316,-9.390465808e-05,0.0001477623693,1.028161631e-20,3.290019059e-20
-1.828125,16.07146254,-6.810613232e-05,-9.928246477e-06,7.436511407e-19,2.059456106e-18
-1.734375,17.65104849,-4.300924148e-05,-0.0006768893571,4.329129754e-17,1.034857694e-16
-1.640625,19.38588426,-6.631716285e-05,-0.001674292479,2.028984281e-15,4.174290715e-15
-1.546875,21.29122862,-0.000127707221,-0.001450474131,7.658558947e-14,1.351632785e-13
-1.453125,23.38384001,-0.0001489935577,-0.0002500422556,2.32902549e-12,3.513247203e-12
-1.359375,25.68212401,-0.0001322977238,0.001175619243,5.708994053e-11,7.330484291e-11
-1.265625,28.20629517,-0.0001148545268,0.001484323123,1.128602552e-09,1.227808377e-09
-1.171875,30.97855485,-0.0001223556693,0.00102187509,1.800550043e-08,1.650830495e-08
-1.078125,34.02328646,-0.0001456603156,0.0002769355345,2.320069631e-07,1.781756453e-07
-0.984375,37.36726994,7.475748261e-06,0.004430816869,2.416896397e-06,1.543718696e-06
-0.890625,41.03991731,0.001394936674,0.03411522711,2.038034405e-05,1.073648086e-05
-0.796875,45.07353134,0.009181092166,0.1804801919,0.0001393276581,5.994179037e-05
-0.703125,49.50358969,0.04666184684,0.8727270032,0.0007737507767,0.0002686404668
-0.609375,54.36905695,0.2091466083,3.798156665,0.003499676944,0.000966467207
-0.515625,59.71272734,0.8154142271,13.45856167,0.0129360903,0.002791108879
-0.421875,65.58160113,2.675654155,37.21586262,0.03925691766,0.006470538122
-0.328125,72.027298,7.289692001,80.38529392,0.09841687138,0.01204142787
-0.234375,79.10651109,16.54917673,137.9795166,0.2055740214,0.01798827604
-0.140625,86.88150563,31.70767605,192.7910507,0.3619973657,0.0215712377
-0.046875,95.4206666,52.18774777,225.9268054,0.5460251257,0.02076512511
0.046875,104.7991002,75.40228351,230.2259767,0.7205159786,0.016046045
0.140625,115.0992945,98.09854138,212.9469561,0.8538581468,0.009953490955
0.234375,126.4118448,118.1994094,188.4072343,0.9359797978,0.004956291177
0.328125,138.8362507,135.5843768,169.5721918,0.9767389352,0.001981126311
0.421875,152.4817911,151.45698,162.9301509,0.9930410422,0.0006356842996
0.515625,167.4684853,167.2390105,167.9444077,0.9982949354,0.0001637362241
0.609375,183.9281489,183.9288728,180.5916689,0.9996591995,3.385493803e-05
0.703125,202.0055528,202.0646061,197.330672,0.9999445975,5.61918385e-06
0.796875,221.8596969,221.9350711,216.5180327,0.9999926913,7.486837838e-07
0.890625,243.6652083,243.7493784,237.7779328,0.999999219,8.007511626e-08
0.984375,267.6138775,267.7072212,261.1439452,0.9999999325,6.874968229e-09
1.078125,293.916345,294.0195291,286.7994959,0.9999999953,4.738247909e-10
1.171875,322.8039542,322.9172772,314.9965148,0.9999999997,2.621433409e-11
1.265625,354.5307861,354.6554468,345.9564193,1,1.164216759e-12
1.359375,389.3758942,389.5131951,379.9557188,1,4.15052305e-14
1.453125,427.6457586,427.7965623,417.2999643,1,1.187806724e-15
1.546875,469.676982,469.8426985,458.3153262,1,2.728743383e-17
1.640625,515.83925,516.0214405,503.3599898,1,5.032149996e-19
1.734375,566.5385831,566.7385663,552.8255288,1,7.449350805e-21
1.828125,622.2209072,622.4405551,607.1659292,1,8.852322791e-23
1.921875,683.3759764,683.6176794,666.841708,1,8.444423839e-25
2.015625,750.5416801,750.8077107,732.3893831,1,6.466313718e-27
2.109375,824.3087744,824.6019159,804.3796702,1,3.974820172e-29
2.203125,905.326078,905.6504443,883.4627507,1,1.961336749e-31
2.296875,994.3061786,994.6676745,970.3464928,1,7.768922922e-34
2.390625,1092.031701,1092.440811,1065.823148,1,2.470264323e-36
2.484375,1199.36219,1199.833457,1170.663163,1,6.305216535e-39
2.578125,1317.241671,1317.785147,1285.723126,1,1.291904919e-41
2.671875,1446.706953,1447.311051,1412.544413,1,2.124883207e-44
2.765625,1588.896749,1589.518051,1555.119002,1,2.805521125e-47
2.859375,1745.061689,1745.658875,1724.113574,1,2.973486619e-50
2.953125,1916.575322,1917.233802,1949.456893,1,2.529836185e-53
