# Session 2: Combined Greeks — Delta + 4 Gamma methods
# K=100.0 T=1.0 r=0.05 sigma=0.2 N_t=1000 domain[-3,3]
N_x,h,Delta_error,Delta_EOC,Gamma_raw_FD_error,Gamma_raw_FD_EOC,Gamma_LSQ_P2_error,Gamma_LSQ_P2_EOC,Gamma_LSQ_P3_error,Gamma_LSQ_P3_EOC,Gamma_L2proj_P2_error,Gamma_L2proj_P2_EOC
64,0.09375,0.00362239297561906,,0.0002705176246810359,,0.0007353952786363918,0.758518606494477,0.0001795271027598744,1.3906259807472994,0.0003669731329917029,0.00221874357504036
128,0.046875,0.0010557286756190942,1.778703958853463,7.250472682895841e-05,,0.00019974717788239364,,2.7668382239343788e-05,,0.00021691891167191388,
256,0.0234375,0.0004309141756190238,1.2927666426933575,2.094599689198733e-05,,5.2573188424353e-05,,1.0588203814081327e-05,,8.273271638514358e-05,
512,0.01171875,0.0011784107256190834,,5.266783682892925e-05,,5.389750746777622e-05,,5.2423017225662665e-05,,8.260557821797819e-05,
