S,delta_DPG_tau01,delta_exact_tau01,delta_DPG_tau025,delta_exact_tau025,delta_DPG_tau05,delta_exact_tau05,delta_DPG_tau10,delta_exact_tau10
600.7260073,1.00002241,1,1.000021895,1,1.000020969,1,1.000018679,1
614.9718141,1.000021993,1,1.000021572,1,1.000020821,1,1.000018938,1
629.5554504,1.000022305,1,1.000021974,1,1.000021367,1,1.000019832,1
644.4849276,1.000022925,1,1.000022801,1,1.000022335,1,1.000021093,1
659.7684473,1.000023375,1,1.000023398,1,1.000023051,1,1.000022076,1
675.4144051,1.000023489,1,1.000023645,1,1.000023411,1,1.000022687,1
691.4313962,1.000023296,1,1.000023497,1,1.000023358,1,1.000022869,1
707.8282192,1.000023318,1,1.000023509,1,1.000023446,1,1.000023176,1
724.6138817,1.000023203,1,1.000023363,1,1.000023364,1,1.000023284,1
741.7976047,1.000023141,1,1.00002325,1,1.000023308,1,1.000023412,1
759.3888279,1.000022827,1,1.000022899,1,1.000023016,1,1.000023292,1
777.397215,1.000022719,1,1.000022798,1,1.000022985,1,1.000023434,1
795.8326587,1.000022657,1,1.000022766,1,1.00002303,1,1.000023658,1
814.7052863,1.000022832,1,1.000023027,1,1.000023376,1,1.000024186,1
834.0254654,1.000023123,1,1.00002344,1,1.00002387,1,1.000024847,1
853.8038094,1.000023386,1,1.000023845,1,1.000024361,1,1.000025515,1
874.0511832,1.000023648,1,1.000024189,1,1.000024789,1,1.000026141,1
894.7787097,1.000023587,1,1.00002419,1,1.000024875,1,1.000026442,1
915.9977753,1.000023481,1,1.000024101,1,1.000024862,1,1.000026654,1
937.7200366,1.000023354,1,1.000023973,1,1.000024813,1,1.000026853,1
959.9574264,1.000023448,1,1.000024043,1,1.000024965,1,1.000027281,1
982.7221607,1.000023361,1,1.000023984,1,1.000025006,1,1.000027621,1
1006.026745,1.000023197,1,1.000023841,1,1.000024984,1,1.000027943,1
1029.883982,1.000023158,1,1.000023858,1,1.000025148,1,1.000028489,1
1054.306977,1.000023343,1,1.000024164,1,1.000025624,1,1.000029371,1
1079.309146,1.000023582,1,1.000024537,1,1.000026196,1,1.000030389,1
1104.904225,1.000023721,1,1.000024826,1,1.000026714,1,1.000031387,1
1131.106274,1.000023801,1,1.000025069,1,1.000027209,1,1.00003238,1
1157.929686,1.000023906,1,1.000025327,1,1.000027749,1,1.000033433,1
1185.389197,1.000024125,1,1.0000257,1,1.000028433,1,1.000034623,1
1213.499892,1.000024179,1,1.000025918,1,1.000028998,1,1.000035665,1
1242.277212,1.000024165,1,1.000026056,1,1.000029518,1,1.000036619,1
1271.736968,1.000024162,1,1.000026249,1,1.000030132,1,1.000037573,1
1301.895341,1.000024293,1,1.000026602,1,1.00003094,1,1.000038608,1
1332.768899,1.000024431,1,1.000027024,1,1.000031842,1,1.000039575,1
1364.374603,1.000024565,1,1.000027513,1,1.000032812,1,1.000040409,1
1396.729814,1.000024787,1,1.000028155,1,1.000033899,1,1.000041119,1
1429.852307,1.000025217,1,1.000029084,1,1.00003518,1,1.000041746,1
1463.760277,1.000025697,1,1.000030109,1,1.000036393,1,1.000042011,1
1498.472352,1.000026159,1,1.000031137,1,1.000037358,1,1.00004173,1
1534.0076,1.000026558,1,1.000032047,1,1.000037861,1,1.00004071,1
1570.385541,1.000027026,1,1.000032905,1,1.000037879,1,1.000038962,1
1607.626161,1.000027557,1,1.000033548,1,1.00003719,1,1.000036337,1
1645.749917,1.000028124,1,1.000033739,1,1.000035551,1,1.000032683,1
1684.777752,1.000028697,1,1.00003318,1,1.000032723,1,1.000027867,1
1724.731105,1.000029265,1,1.000031606,1,1.000028588,1,1.000021886,1
1765.631924,1.000029488,1,1.000028589,1,1.000022946,1,1.000014653,1
1807.502679,1.000028404,1,1.000023435,1,1.000015391,1,1.000005864,1
1850.366369,1.000024721,1,1.000015512,1,1.000005569,1,0.9999952471,1
1894.246543,1.000017093,1,1.000004204,1,0.999993234,1,0.9999826243,1
1939.167306,1.000002734,1,0.9999893169,1,0.999978596,1,0.9999681809,1
1985.153333,0.9999907323,1,0.9999772489,1,0.9999671446,1,0.9999572412,1
