S,delta_DPG_tau01,delta_exact_tau01,delta_DPG_tau025,delta_exact_tau025,delta_DPG_tau05,delta_exact_tau05,delta_DPG_tau10,delta_exact_tau10
12.86343687,-1.722461213e-05,2.151866473e-229,-4.000100002e-05,3.29569677e-92,-7.50676044e-05,2.124939507e-46,-0.0001412351318,2.001631316e-23
13.16848449,-1.657294322e-05,3.226952117e-224,-3.967774392e-05,3.807688667e-90,-7.552797733e-05,2.250720587e-45,-0.0001430079471,6.419750488e-23
13.4807661,-1.598148034e-05,4.21877692e-219,-3.93044924e-05,4.16463851e-88,-7.581042851e-05,2.319672648e-44,-0.0001445425949,2.031172288e-22
13.80045325,-1.629593038e-05,4.808380242e-214,-3.952300488e-05,4.312173691e-86,-7.649518032e-05,2.326286939e-43,-0.0001464206419,6.339737505e-22
14.12772157,-1.573170971e-05,4.777829647e-209,-3.900611688e-05,4.22687734e-84,-7.634889908e-05,2.270035921e-42,-0.0001473429489,1.95205965e-21
14.46275083,-1.582059292e-05,4.138887253e-204,-3.901560491e-05,3.922373709e-82,-7.656712442e-05,2.155442773e-41,-0.000148488803,5.929439328e-21
14.80572508,-1.5477174e-05,3.125785163e-199,-3.856940354e-05,3.445765593e-80,-7.620969183e-05,1.991480647e-40,-0.0001489043088,1.776783058e-20
15.15683274,-1.641510464e-05,2.058063743e-194,-3.923586082e-05,2.865705093e-78,-7.693806258e-05,1.79041237e-39,-0.0001503456803,5.252389871e-20
15.51626667,-1.549798304e-05,1.181365588e-189,-3.822396464e-05,2.25625349e-76,-7.608157761e-05,1.566278737e-38,-0.0001501741843,1.531732341e-19
15.88422433,-1.421801482e-05,5.912039148e-185,-3.673850767e-05,1.681731285e-74,-7.470667223e-05,1.333293355e-37,-0.0001494209804,4.406703642e-19
16.26090785,-1.298819129e-05,2.579404983e-180,-3.54289659e-05,1.186695741e-72,-7.341323065e-05,1.104395929e-36,-0.0001485369287,1.250695424e-18
16.64652417,-1.354199377e-05,9.811442018e-176,-3.625531248e-05,7.927532828e-71,-7.418965865e-05,8.901600606e-36,-0.0001494693289,3.501852215e-18
17.04128511,-1.516722013e-05,3.253712081e-171,-3.821870899e-05,5.013655495e-69,-7.603681978e-05,6.981640986e-35,-0.0001513586797,9.672850001e-18
17.44540754,-1.639845428e-05,9.407199227e-167,-3.958360883e-05,3.001861602e-67,-7.725632967e-05,5.328377286e-34,-0.0001526720706,2.635866417e-17
17.85911346,-1.71942791e-05,2.371256636e-162,-4.006699678e-05,1.701565303e-65,-7.763945124e-05,3.957149848e-33,-0.000153284758,7.086089572e-17
18.28263013,-1.585992594e-05,5.211178008e-158,-3.848251019e-05,9.13125517e-64,-7.615085772e-05,2.859711364e-32,-0.0001521179885,1.879343839e-16
18.71619021,-1.396743229e-05,9.984690642e-154,-3.608482341e-05,4.639150381e-62,-7.391248124e-05,2.011019458e-31,-0.0001502413726,4.917273533e-16
19.16003187,-1.137015626e-05,1.66792682e-149,-3.314806854e-05,2.231386691e-60,-7.109738754e-05,1.376153851e-30,-0.0001476552861,1.269296964e-15
19.61439893,-1.179086097e-05,2.42921224e-145,-3.349143003e-05,1.016113081e-58,-7.144574067e-05,9.163823715e-30,-0.0001480149781,3.232400688e-15
20.079541,-1.357587893e-05,3.084626174e-141,-3.583135109e-05,4.38069043e-57,-7.380244841e-05,5.938106112e-29,-0.0001502255161,8.121058403e-15
20.55571359,-1.626318012e-05,3.415001188e-137,-3.910955968e-05,1.788047346e-55,-7.713628339e-05,3.744408752e-28,-0.0001534622827,2.012927295e-14
21.04317829,-1.697525767e-05,3.296348859e-133,-4.032078706e-05,6.909619273e-54,-7.845387583e-05,2.297657588e-27,-0.0001547993654,4.922369122e-14
21.54220288,-1.718754839e-05,2.774165309e-129,-4.082935429e-05,2.527963047e-52,-7.901934021e-05,1.3720089e-26,-0.0001554738379,1.187554728e-13
22.0530615,-1.735871599e-05,2.035594968e-125,-4.107879156e-05,8.756525147e-51,-7.923277548e-05,7.972619622e-26,-0.0001558470528,2.826632211e-13
22.57603479,-1.689950887e-05,1.302307094e-121,-4.034806105e-05,2.871709221e-49,-7.842009354e-05,4.508382096e-25,-0.0001552803017,6.637799968e-13
23.11141002,-1.585432856e-05,7.26443329e-118,-3.880402323e-05,8.916614027e-48,-7.680382073e-05,2.480956481e-24,-0.0001540231028,1.53787595e-12
23.65948132,-1.425367621e-05,3.533131635e-114,-3.676106472e-05,2.621281872e-46,-7.4714307e-05,1.328616625e-23,-0.00015230471,3.5153128e-12
24.22054975,-1.409022664e-05,1.498274049e-110,-3.610428753e-05,7.296008052e-45,-7.401758396e-05,6.924139849e-23,-0.0001519828742,7.927852379e-12
24.79492353,-1.348100707e-05,5.539873554e-107,-3.52349748e-05,1.922730683e-43,-7.322329675e-05,3.511731178e-22,-0.0001515815369,1.764004056e-11
25.3829182,-1.361354572e-05,1.786033451e-103,-3.531742773e-05,4.797523531e-42,-7.351171674e-05,1.733284404e-21,-0.0001522942062,3.87257421e-11
25.98485676,-1.339877293e-05,5.020704449e-100,-3.542034071e-05,1.133405732e-40,-7.394589409e-05,8.32560047e-21,-0.0001531263942,8.388029214e-11
26.60106988,-1.450278823e-05,1.23063557e-96,-3.696740796e-05,2.535290169e-39,-7.591127853e-05,3.891909315e-20,-0.0001555016864,1.792603295e-10
27.23189607,-1.540703703e-05,2.630199257e-93,-3.858071107e-05,5.369680962e-38,-7.807501402e-05,1.770580675e-19,-0.0001580781854,3.779869142e-10
27.87768188,-1.578562968e-05,4.901704298e-90,-3.968107492e-05,1.076843634e-36,-7.97478434e-05,7.839335827e-19,-0.0001601722207,7.863974791e-10
28.53878205,-1.620106206e-05,7.965444118e-87,-4.074295375e-05,2.04477358e-35,-8.131525383e-05,3.377989422e-18,-0.0001621216398,1.614302453e-09
29.21555976,-1.716105315e-05,1.128711001e-83,-4.221936824e-05,3.676474575e-34,-8.321287832e-05,1.416634949e-17,-0.0001643787982,3.269716159e-09
29.9083868,-1.829460566e-05,1.394669017e-80,-4.378044091e-05,6.259178127e-33,-8.516438039e-05,5.782075163e-17,-0.0001666860782,6.534655665e-09
30.61764375,-1.785404252e-05,1.502731083e-77,-4.353982526e-05,1.009040082e-31,-8.521773666e-05,2.296896314e-16,-0.0001670920959,1.288630151e-08
31.34372025,-1.680182284e-05,1.411950778e-74,-4.232490529e-05,1.540320842e-30,-8.412945945e-05,8.880491601e-16,-0.0001663225624,2.507451239e-08
