# Chain rule: x=log(S/K), vartheta=sigma_x/diff=du/dx
# Delta=dV/dS=vartheta/S, Gamma=d2V/dS2=(u_xx-u_x)/S2 (FD approx)
S,x,u_DPG,delta_DPG,gamma_DPG,delta_exact,gamma_exact,delta_error,gamma_error
12.56545568,-2.07421875,-0.0004119527217,-0.0001377069712,-1.308626643e-05,6.156633095e-24,1.239487426e-22,0.0001377069712,1.308626643e-05
12.86343687,-2.05078125,-0.0004570491085,-0.0001412351318,-8.790584909e-06,2.001631316e-23,3.891290681e-22,0.0001412351318,8.790584909e-06
13.16848449,-2.02734375,-0.0004988191801,-0.0001430079471,-5.357697274e-06,6.419750488e-23,1.204983487e-21,0.0001430079471,5.357697274e-06
13.4807661,-2.00390625,-0.0005407255287,-0.0001445425949,-5.400100442e-06,2.031172288e-22,3.680479384e-21,0.0001445425949,5.400100442e-06
13.80045325,-1.98046875,-0.0005892384567,-0.0001464206419,-4.328511158e-06,6.339737505e-22,1.108826398e-20,0.0001464206419,4.328511158e-06
14.12772157,-1.95703125,-0.0006380164413,-0.0001473429489,-3.122706685e-06,1.95205965e-21,3.295024108e-20,0.0001473429489,3.122706685e-06
14.46275083,-1.93359375,-0.0006858212215,-0.000148488803,-2.302878878e-06,5.929439328e-21,9.658051334e-20,0.000148488803,2.302878878e-06
14.80572508,-1.91015625,-0.00073776318,-0.0001489043088,-2.675299884e-06,1.776783058e-20,2.79226283e-19,0.0001489043088,2.675299884e-06
15.15683274,-1.88671875,-0.000791713188,-0.0001503456803,-1.787193781e-06,5.252389871e-20,7.962674334e-19,0.0001503456803,1.787193781e-06
15.51626667,-1.86328125,-0.0008433171383,-0.0001501741843,1.271254578e-06,1.531732341e-19,2.239739377e-18,0.0001501741843,1.271254578e-06
15.88422433,-1.83984375,-0.0008965266621,-0.0001494209804,2.198717505e-06,4.406703642e-19,6.214009171e-18,0.0001494209804,2.198717505e-06
16.26090785,-1.81640625,-0.0009557109821,-0.0001485369287,-6.342449954e-08,1.250695424e-18,1.700521657e-17,0.0001485369287,6.342449956e-08
16.64652417,-1.79296875,-0.001013908432,-0.0001494693289,-3.615880559e-06,3.501852215e-18,4.590165216e-17,0.0001494693289,3.615880559e-06
17.04128511,-1.76953125,-0.001071758764,-0.0001513586797,-4.009022873e-06,9.672850001e-18,1.222110121e-16,0.0001513586797,4.009022874e-06
17.44540754,-1.74609375,-0.00113396538,-0.0001526720706,-2.355113112e-06,2.635866417e-17,3.209432431e-16,0.0001526720706,2.355113112e-06
17.85911346,-1.72265625,-0.001199614212,-0.000153284758,6.61809795e-07,7.086089572e-17,8.313463718e-16,0.000153284758,6.618097942e-07
18.28263013,-1.69921875,-0.001261486321,-0.0001521179885,3.550890148e-06,1.879343839e-16,2.124083805e-15,0.0001521179885,3.550890146e-06
18.71619021,-1.67578125,-0.001323900099,-0.0001502413726,5.086270317e-06,4.917273533e-16,5.352999002e-15,0.0001502413726,5.086270312e-06
19.16003187,-1.65234375,-0.001393224533,-0.0001476552861,2.478705064e-06,1.269296964e-15,1.330633797e-14,0.0001476552861,2.478705051e-06
19.61439893,-1.62890625,-0.001464657226,-0.0001480149781,-2.795219712e-06,3.232400688e-15,3.262539742e-14,0.0001480149781,2.795219745e-06
20.079541,-1.60546875,-0.00153320634,-0.0001502255161,-5.786911493e-06,8.121058403e-15,7.890216938e-14,0.0001502255161,5.786911571e-06
20.55571359,-1.58203125,-0.001602251384,-0.0001534622827,-4.746442835e-06,2.012927295e-14,1.882166115e-13,0.0001534622827,4.746443024e-06
21.04317829,-1.55859375,-0.001677125883,-0.0001547993654,-2.03910494e-06,4.922369122e-14,4.428563025e-13,0.0001547993655,2.039105382e-06
21.54220288,-1.53515625,-0.001754780661,-0.0001554738379,-1.037434245e-06,1.187554728e-13,1.027788093e-12,0.000155473838,1.037435273e-06
22.0530615,-1.51171875,-0.001834951245,-0.0001558470528,1.872027892e-07,2.826632211e-13,2.352773971e-12,0.0001558470531,1.872004365e-07
22.57603479,-1.48828125,-0.001916718282,-0.0001552803017,1.723392647e-06,6.637799968e-13,5.312423692e-12,0.0001552803023,1.723387334e-06
23.11141002,-1.46484375,-0.001999157109,-0.0001540231028,2.746413042e-06,1.53787595e-12,1.183153454e-11,0.0001540231043,2.74640121e-06
23.65948132,-1.44140625,-0.002081415529,-0.00015230471,1.839469422e-06,3.5153128e-12,2.599113946e-11,0.0001523047135,1.839443431e-06
24.22054975,-1.41796875,-0.002168165969,-0.0001519828742,6.369087341e-07,7.927852379e-12,5.631776823e-11,0.0001519828821,6.368524163e-07
24.79492353,-1.39453125,-0.002257237573,-0.0001515815369,-2.678428388e-07,1.764004056e-11,1.203653341e-10,0.0001515815546,2.679632041e-07
25.3829182,-1.37109375,-0.002345173898,-0.0001522942062,-1.298272243e-06,3.87257421e-11,2.537425431e-10,0.000152294245,1.298525985e-06
25.98485676,-1.34765625,-0.002435915074,-0.0001531263942,-2.633071253e-06,8.388029214e-11,5.276197253e-10,0.0001531264781,2.633598873e-06
26.60106988,-1.32421875,-0.002532694812,-0.0001555016864,-3.970838107e-06,1.792603295e-10,1.082142943e-09,0.0001555018657,3.97192025e-06
27.23189607,-1.30078125,-0.002631293486,-0.0001580781854,-3.658538645e-06,3.779869142e-10,2.189193313e-09,0.0001580785634,3.660727838e-06
27.87768188,-1.27734375,-0.002731140601,-0.0001601722207,-3.093961064e-06,7.863974791e-10,4.368370513e-09,0.0001601730071,3.098329435e-06
28.53878205,-1.25390625,-0.002839792112,-0.0001621216398,-3.144216314e-06,1.614302453e-09,8.597866428e-09,0.0001621232541,3.15281418e-06
29.21555976,-1.23046875,-0.002953483742,-0.0001643787982,-3.332668412e-06,3.269716159e-09,1.669159328e-08,0.0001643820679,3.349360006e-06
29.9083868,-1.20703125,-0.003065554063,-0.0001666860782,-1.935189123e-06,6.534655665e-09,3.196250187e-08,0.0001666926129,1.967151625e-06
30.61764375,-1.18359375,-0.003180062495,-0.0001670920959,2.532622602e-07,1.288630151e-08,6.036978263e-08,0.0001671049822,1.928924775e-07
31.34372025,-1.16015625,-0.00330539389,-0.0001663225624,3.704090804e-07,2.507451239e-08,1.124693877e-07,0.000166347637,2.579396927e-07
32.08701515,-1.13671875,-0.003431482105,-0.0001665478274,-4.46880379e-07,4.814390714e-08,2.066735608e-07,0.0001665959713,6.535539398e-07
32.84793679,-1.11328125,-0.003554757512,-0.0001669947673,-3.920375205e-07,9.121392008e-08,3.746031167e-07,0.0001670859812,7.666406373e-07
33.62690316,-1.08984375,-0.003682694765,-0.0001671515213,8.332803946e-07,1.705291105e-07,6.697207018e-07,0.0001673220504,1.635596929e-07
34.42434219,-1.06640625,-0.003818359738,-0.0001656811796,1.011828575e-06,3.146013517e-07,1.181005537e-06,0.0001659957809,1.691769624e-07
35.24069194,-1.04296875,-0.003953342519,-0.0001655186437,6.168525935e-07,5.727363145e-07,2.054215571e-06,0.00016609138,1.437362977e-06
36.07640087,-1.01953125,-0.004087832259,-0.0001646621029,9.780552209e-07,1.028937e-06,3.52432518e-06,0.0001656910399,2.546269959e-06
36.93192806,-0.99609375,-0.004231332519,-0.0001638645214,1.251035985e-06,1.824194226e-06,5.964057221e-06,0.0001656887156,4.713021236e-06
37.80774349,-0.97265625,-0.004374368576,-0.000162496131,1.730327099e-06,3.191614164e-06,9.955051321e-06,0.0001656877451,8.224724222e-06
38.70432829,-0.94921875,-0.004517050339,-0.0001607976892,2.835366587e-06,5.510817305e-06,1.639008017e-05,0.0001663085065,1.355471358e-05
