# Asian Greeks: Rogers-Shi reduction z=(K-A/T)/S, z0=K/S0=1.0
# delta_reduced_dz = -dU/dz  (reduced-coordinate sensitivity)
# delta_Asian_financial = U(z0) - z0*U_z(z0)  (financial Delta, Sec. 3.2)
sigma,z,u,delta_reduced_dz,delta_Asian_financial,note
0.05,-0.2300000000,1.1665041880,0.9139321195,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.2200000000,1.1573648850,0.9139327767,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.2100000000,1.1482255330,0.9139345796,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.2000000000,1.1390861930,0.9139315343,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.1900000000,1.1299469020,0.9139327859,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.1800000000,1.1208075380,0.9139352666,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.1700000000,1.1116681970,0.9139308012,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.1600000000,1.1025289220,0.9139327449,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.1500000000,1.0933895420,0.9139361445,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.1400000000,1.0842501990,0.9139299858,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.1300000000,1.0751109420,0.9139325480,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.1200000000,1.0659715480,0.9139372265,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.1100000000,1.0568321980,0.9139292171,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.1000000000,1.0476929630,0.9139320557,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.0900000000,1.0385535570,0.9139384798,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.0800000000,1.0294141940,0.9139286944,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.0700000000,1.0202749830,0.9139311341,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.0600000000,1.0111355710,0.9139397842,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.0500000000,1.0019961870,0.9139286699,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.0400000000,0.9928569976,0.9139297216,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.0300000000,0.9837175926,0.9139408995,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.0200000000,0.9745781796,0.9139293934,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-0.0100000000,0.9654390047,0.9139279098,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.0000000000,0.9562996214,0.9139414727,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.0100000000,0.9471601753,0.9139310116,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.0200000000,0.9380210012,0.9139260036,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.0300000000,0.9288816552,0.9139411158,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.0400000000,0.9197421789,0.9139334457,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.0500000000,0.9106029863,0.9139245112,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.0600000000,0.9014636887,0.9139395577,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.0700000000,0.8923241951,0.9139363021,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.0800000000,0.8831849626,0.9139240227,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.0900000000,0.8740457147,0.9139368300,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.1000000000,0.8649062260,0.9139388930,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.1100000000,0.8557669368,0.9139249800,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.1200000000,0.8466277264,0.9139333920,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.1300000000,0.8374882690,0.9139404194,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.1400000000,0.8283489180,0.9139274181,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.1500000000,0.8192097206,0.9139300880,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.1600000000,0.8100703163,0.9139402895,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.1700000000,0.8009309148,0.9139308161,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.1800000000,0.7917917000,0.9139278824,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.1900000000,0.7826523572,0.9139384442,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.2000000000,0.7735129311,0.9139341944,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.2100000000,0.7643736733,0.9139274454,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.2200000000,0.7552343822,0.9139354929,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.2300000000,0.7460949634,0.9139364865,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.2400000000,0.7369556524,0.9139287907,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.2500000000,0.7278163876,0.9139325226,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.2600000000,0.7186770020,0.9139370361,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.2700000000,0.7095376469,0.9139311996,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.2800000000,0.7003983780,0.9139306113,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.2900000000,0.6912590347,0.9139359452,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.3000000000,0.6821196591,0.9139335409,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.3100000000,0.6729803639,0.9139302927,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.3200000000,0.6638410532,0.9139340300,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.3300000000,0.6547016833,0.9139348464,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.3400000000,0.6455623563,0.9139312982,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.3500000000,0.6364230573,0.9139323672,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.3600000000,0.6272837090,0.9139348068,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.3700000000,0.6181443612,0.9139327635,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.3800000000,0.6090050537,0.9139316910,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.3900000000,0.5998657273,0.9139338648,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.4000000000,0.5907263764,0.9139337826,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.4100000000,0.5815870517,0.9139320326,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.4200000000,0.5724477358,0.9139328430,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.4300000000,0.5633083948,0.9139339386,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.4400000000,0.5541690570,0.9139328324,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.4500000000,0.5450297382,0.9139323765,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.4600000000,0.5358904095,0.9139334541,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.4700000000,0.5267510691,0.9139334192,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.4800000000,0.5176117411,0.9139325550,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.4900000000,0.5084724180,0.9139328930,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.5000000000,0.4993330832,0.9139334783,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.5100000000,0.4901937484,0.9139330044,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.5200000000,0.4810544231,0.9139326841,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.5300000000,0.4719150947,0.9139331735,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.5400000000,0.4627757597,0.9139332823,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.5500000000,0.4536364291,0.9139328489,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.5600000000,0.4444971027,0.9139328871,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.5700000000,0.4353577714,0.9139332325,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.5800000000,0.4262184380,0.9139331057,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.5900000000,0.4170791092,0.9139328538,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.6000000000,0.4079397809,0.9139330241,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.6100000000,0.3988004488,0.9139331918,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.6200000000,0.3896611171,0.9139330088,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.6300000000,0.3805217886,0.9139329099,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.6400000000,0.3713824589,0.9139330869,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.6500000000,0.3622431268,0.9139331334,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.6600000000,0.3531037962,0.9139329719,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.6700000000,0.3439644674,0.9139329634,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.6800000000,0.3348251370,0.9139331059,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.6900000000,0.3256858053,0.9139330879,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.7000000000,0.3165464752,0.9139329643,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.7100000000,0.3074071460,0.9139330005,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.7200000000,0.2982678152,0.9139331071,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.7300000000,0.2891284839,0.9139330584,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.7400000000,0.2799891540,0.9139329659,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.7500000000,0.2708498245,0.9139330237,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.7600000000,0.2617104936,0.9139331053,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.7700000000,0.2525711624,0.9139330399,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.7800000000,0.2434318328,0.9139329660,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.7900000000,0.2342925031,0.9139330391,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.8000000000,0.2251531720,0.9139331085,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.8100000000,0.2160138410,0.9139330259,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.8200000000,0.2068745115,0.9139329573,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.8300000000,0.1977351818,0.9139330511,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.8400000000,0.1885958504,0.9139331144,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.8500000000,0.1794565195,0.9139329665,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.8600000000,0.1703171911,0.9139327551,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.8700000000,0.1611778644,0.9139323884,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.8800000000,0.1520385433,0.9139306112,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.8900000000,0.1428992522,0.9139239904,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.9000000000,0.1337600635,0.9139031425,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.9100000000,0.1246211893,0.9138407211,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.9200000000,0.1154832491,0.9136636912,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.9300000000,0.1063479155,0.9131973466,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.9400000000,0.0972193022,0.9120613177,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.9500000000,0.0881066892,0.9095037067,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.9600000000,0.0790292281,0.9041975557,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.9700000000,0.0700227381,0.8940897567,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.9800000000,0.0611474329,0.8764437603,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,0.9900000000,0.0524938628,0.8481967445,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.0000000000,0.0441834980,0.8066364545,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.0100000000,0.0363611338,0.7502365638,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.0200000000,0.0291787668,0.6793646054,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.0300000000,0.0227738417,0.5965748969,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.0400000000,0.0172472688,0.5063351599,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.0500000000,0.0126471384,0.4142462569,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.0600000000,0.0089623437,0.3259975822,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.0700000000,0.0061271868,0.2463752294,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.0800000000,0.0040348391,0.1785866093,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.0900000000,0.0025554546,0.1240255410,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.1000000000,0.0015543283,0.0824471351,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.1100000000,0.0009065119,0.0524130700,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.1200000000,0.0005060669,0.0318318830,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.1300000000,0.0002698743,0.0184466887,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.1400000000,0.0001371331,0.0101846079,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.1500000000,0.0000661821,0.0053464906,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.1600000000,0.0000302033,0.0026614253,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.1700000000,0.0000129536,0.0012515365,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.1800000000,0.0000051726,0.0005529707,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.1900000000,0.0000018942,0.0002276904,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.2000000000,0.0000006187,0.0000862313,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.2100000000,0.0000001696,0.0000293429,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.2200000000,0.0000000319,0.0000085414,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.2300000000,-0.0000000013,0.0000018466,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.2400000000,-0.0000000050,0.0000000917,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.2500000000,-0.0000000031,-0.0000001856,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.2600000000,-0.0000000013,-0.0000001333,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.2700000000,-0.0000000004,-0.0000000614,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.2800000000,-0.0000000001,-0.0000000216,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.2900000000,-0.0000000000,-0.0000000056,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.3000000000,0.0000000000,-0.0000000007,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.3100000000,0.0000000000,0.0000000003,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.3200000000,0.0000000000,0.0000000003,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.3300000000,0.0000000000,0.0000000001,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.3400000000,0.0000000000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.3500000000,-0.0000000000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.3600000000,-0.0000000000,-0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.3700000000,-0.0000000000,-0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.3800000000,-0.0000000000,-0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.3900000000,-0.0000000000,-0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.4000000000,0.0000000000,-0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.4100000000,0.0000000000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.4200000000,0.0000000000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.4300000000,0.0000000000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.4400000000,0.0000000000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.4500000000,-0.0000000000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.4600000000,-0.0000000000,-0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.4700000000,-0.0000000000,-0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.4800000000,-0.0000000000,-0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.4900000000,0.0000000000,-0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.5000000000,0.0000000000,-0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.5100000000,0.0000000000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.5200000000,0.0000000000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.5300000000,0.0000000000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.5400000000,-0.0000000000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.5500000000,-0.0000000000,-0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.5600000000,-0.0000000000,-0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.5700000000,-0.0000000000,-0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.5800000000,0.0000000000,-0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.5900000000,0.0000000000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.6000000000,0.0000000000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.6100000000,0.0000000000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,1.6200000000,-0.0000000000,0.0000000000,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
