# Asian Greeks: Rogers-Shi reduction z=(K-A/T)/S, z0=K/S0=1.0
# delta_reduced_dz = -dU/dz  (reduced-coordinate sensitivity)
# delta_Asian_financial = U(z0) - z0*U_z(z0)  (financial Delta, Sec. 3.2)
sigma,z,u,delta_reduced_dz,delta_Asian_financial,note
0.05,-1.6400000000,1.9952862990,0.0000000521,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.6300000000,1.9952862990,0.0000000883,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.6200000000,1.9952862980,0.0000001484,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.6100000000,1.9952862960,0.0000002474,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.6000000000,1.9952862930,0.0000004091,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.5900000000,1.9952862880,0.0000006709,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.5800000000,1.9952862790,0.0000010914,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.5700000000,1.9952862660,0.0000017609,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.5600000000,1.9952862440,0.0000028180,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.5500000000,1.9952862090,0.0000044729,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.5400000000,1.9952861550,0.0000070416,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
0.05,-1.5300000000,1.9952860690,0.0000109946,0.8508199525,Delta_Asian=U-z0*Uz;z0=K/S0=1.0;S0=K=100;r=0.09
