S,gamma_DPG_tau01,gamma_exact_tau01,gamma_DPG_tau025,gamma_exact_tau025,gamma_DPG_tau05,gamma_exact_tau05,gamma_DPG_tau10,gamma_exact_tau10
12.86343687,-4.893683374e-07,4.277771859e-227,-1.668366354e-06,2.610970067e-90,-4.381646926e-06,8.365364722e-45,-8.790584909e-06,3.891290681e-22
13.16848449,2.013725817e-06,6.194646965e-222,1.128259602e-06,2.912906119e-88,-1.203286802e-06,8.55561749e-44,-5.357697274e-06,1.204983487e-21
13.4807661,4.383331205e-07,7.819414431e-217,2.448523525e-07,3.076058383e-86,-1.53046011e-06,8.513136257e-43,-5.400100442e-06,3.680479384e-21
13.80045325,3.860708085e-07,8.603806431e-212,4.611994658e-07,3.074724101e-84,-8.323147216e-07,8.24137271e-42,-4.328511158e-06,1.108826398e-20
14.12772157,7.177097808e-07,8.252124273e-207,7.661208252e-07,2.909117223e-82,-1.086280567e-07,7.762136429e-41,-3.122706685e-06,3.295024108e-20
14.46275083,3.754194562e-07,6.899214017e-202,6.441166354e-07,2.605312257e-80,2.053193586e-07,7.112703974e-40,-2.302878878e-06,9.658051334e-20
14.80572508,-8.565440403e-07,5.027964513e-197,-3.173341824e-07,2.208522537e-78,-5.344299576e-07,6.34103196e-39,-2.675299884e-06,2.79226283e-19
15.15683274,-2.928616062e-08,3.194063304e-192,4.861628168e-07,1.772096548e-76,1.80305021e-07,5.49992663e-38,-1.787193781e-06,7.962674334e-19
15.51626667,3.020504839e-06,1.768697508e-187,3.433299463e-06,1.345911226e-74,3.067660367e-06,4.641149902e-37,1.271254578e-06,2.239739377e-18
15.88422433,3.370471306e-06,8.537335278e-183,3.753483952e-06,9.6758459e-73,3.58339965e-06,3.810360278e-36,2.198717505e-06,6.214009171e-18
16.26090785,8.868177793e-07,3.592111757e-178,6.338649945e-07,6.584229529e-71,6.782286321e-07,3.043534524e-35,-6.342449954e-08,1.700521657e-17
16.64652417,-2.792276176e-06,1.317455853e-173,-3.574864659e-06,4.240962896e-69,-3.361949728e-06,2.365168953e-34,-3.615880559e-06,4.590165216e-17
17.04128511,-3.575566343e-06,4.211928904e-169,-4.166185522e-06,2.585636531e-67,-3.838696758e-06,1.788207254e-33,-4.009022873e-06,1.222110121e-16
17.44540754,-2.478587318e-06,1.173774638e-164,-2.25999476e-06,1.492155105e-65,-1.959618384e-06,1.315361969e-32,-2.355113112e-06,3.209432431e-16
17.85911346,6.432319794e-07,2.851327744e-160,1.315180289e-06,8.150869773e-64,1.320403877e-06,9.413355395e-32,6.61809795e-07,8.313463718e-16
18.28263013,3.76494498e-06,6.037654917e-156,4.646227268e-06,4.214416285e-62,4.348467038e-06,6.554134897e-31,3.550890148e-06,2.124083805e-15
18.71619021,5.117119644e-06,1.114418117e-151,6.079816581e-06,2.062597087e-60,5.759585326e-06,4.439745154e-30,5.086270317e-06,5.352999002e-15
19.16003187,2.423235567e-06,1.793026751e-147,2.887294805e-06,9.555091724e-59,2.746288827e-06,2.925987414e-29,2.478705064e-06,1.330633797e-14
19.61439893,-2.398804536e-06,2.514687966e-143,-2.918168474e-06,4.189853252e-57,-2.941853202e-06,1.876111352e-28,-2.795219712e-06,3.262539742e-14
20.079541,-4.751141514e-06,3.074256974e-139,-5.968386448e-06,1.739026723e-55,-6.045314038e-06,1.170352036e-27,-5.786911493e-06,7.890216938e-14
20.55571359,-3.527653781e-06,3.276083476e-135,-4.658844157e-06,6.832146822e-54,-4.826948328e-06,7.103071136e-27,-4.746442835e-06,1.882166115e-13
21.04317829,-9.370281884e-07,3.043185883e-131,-1.743348475e-06,2.540689644e-52,-1.908846693e-06,4.194184772e-26,-2.03910494e-06,4.428563025e-13
21.54220288,-3.797056113e-07,2.46411363e-127,-7.505862961e-07,8.94312983e-51,-7.712769582e-07,2.409465432e-25,-1.037434245e-06,1.027788093e-12
22.0530615,2.786135009e-07,1.739208744e-123,4.655430283e-07,2.979689053e-49,5.7963647e-07,1.346683648e-24,1.872027892e-07,2.352773971e-12
22.57603479,1.42144804e-06,1.070043464e-119,2.14935656e-06,9.397143239e-48,2.295042426e-06,7.322885086e-24,1.723392647e-06,5.312423692e-12
23.11141002,2.442051896e-06,5.738651559e-116,3.310727603e-06,2.805202646e-46,3.420368641e-06,3.874097953e-23,2.746413042e-06,1.183153454e-11
23.65948132,1.590513691e-06,2.682730348e-112,2.434080787e-06,7.926402546e-45,2.512070125e-06,1.994025562e-22,1.839469422e-06,2.599113946e-11
24.22054975,6.805006345e-07,1.093208293e-108,1.344048949e-06,2.119978715e-43,1.313153794e-06,9.985333884e-22,6.369087341e-07,5.631776823e-11
24.79492353,4.100945074e-07,3.883180175e-105,6.769452481e-07,5.366984838e-42,4.352038466e-07,4.864813626e-21,-2.678428388e-07,1.203653341e-10
25.3829182,6.910819027e-08,1.202349965e-101,-1.557784152e-07,1.286094046e-40,-6.072587324e-07,2.305905835e-20,-1.298272243e-06,2.537425431e-10
25.98485676,-7.299932552e-07,3.24513656e-98,-1.35449489e-06,2.917148775e-39,-1.969838266e-06,1.063380459e-19,-2.633071253e-06,5.276197253e-10
26.60106988,-1.610425649e-06,7.634731856e-95,-2.5342989e-06,6.263079455e-38,-3.311138545e-06,4.770979258e-19,-3.970838107e-06,1.082142943e-09
27.23189607,-1.004879675e-06,1.565717223e-91,-2.125678722e-06,1.272801726e-36,-3.00527089e-06,2.0825629e-18,-3.658538645e-06,2.189193313e-09
27.87768188,-6.075702444e-07,2.79892717e-88,-1.654499867e-06,2.448370179e-35,-2.479359219e-06,8.844239037e-18,-3.093961064e-06,4.368370513e-09
28.53878205,-1.028063534e-06,4.361426883e-85,-1.897253362e-06,4.457967506e-34,-2.589948565e-06,3.654218924e-17,-3.144216314e-06,8.597866428e-09
29.21555976,-1.528575017e-06,5.924126496e-82,-2.217783758e-06,7.683165842e-33,-2.810392246e-06,1.468927626e-16,-3.332668412e-06,1.669159328e-08
29.9083868,-4.942566736e-07,7.014210247e-79,-9.417816861e-07,1.253392259e-31,-1.429913159e-06,5.744840568e-16,-1.935189123e-06,3.196250187e-08
30.61764375,1.040025105e-06,7.23922316e-76,1.014074895e-06,1.93542925e-30,7.210317131e-07,2.185884992e-15,2.532622602e-07,6.036978263e-08
31.34372025,6.755002496e-07,6.51274207e-73,8.24985268e-07,2.828857585e-29,7.184306677e-07,8.091860404e-15,3.704090804e-07,1.124693877e-07
32.08701515,-3.804449998e-07,5.10733708e-70,-2.43099326e-07,3.913707453e-28,-2.220522858e-07,2.914346605e-14,-4.46880379e-07,2.066735608e-07
32.84793679,-4.893538598e-07,3.491273677e-67,-3.290375782e-07,5.125180042e-27,-2.403738976e-07,1.02118815e-13,-3.920375205e-07,3.746031167e-07
