S,gamma_DPG_tau01,gamma_exact_tau01,gamma_DPG_tau025,gamma_exact_tau025,gamma_DPG_tau05,gamma_exact_tau05,gamma_DPG_tau10,gamma_exact_tau10
326.6090651,3.204039207e-07,1.077796267e-78,5.564943857e-07,2.881522472e-33,8.357061011e-07,3.254408151e-18,8.631350185e-07,8.988026054e-11
334.3543758,4.680465578e-07,9.179947913e-82,7.16743269e-07,1.640395033e-34,1.026819729e-06,7.518642202e-19,1.192381335e-06,4.183138115e-11
342.2833614,2.168315623e-07,6.815574789e-85,4.63788336e-07,8.83931014e-36,7.897640526e-07,1.689968318e-19,1.058352095e-06,1.920330405e-11
350.4003774,-6.070141457e-08,4.410862173e-88,1.662388592e-07,4.508497052e-37,4.948149922e-07,3.695638253e-20,8.380023935e-07,8.69532032e-12
358.7098828,-8.254979758e-08,2.488302732e-91,1.239543141e-07,2.176650493e-38,4.416767852e-07,7.862706965e-21,8.270908424e-07,3.883569532e-12
367.2164426,1.73020797e-07,1.223606215e-94,3.790562196e-07,9.946930896e-40,6.76291868e-07,1.627520519e-21,1.07250121e-06,1.710852064e-12
375.9247296,3.967781728e-07,5.244919908e-98,6.003871389e-07,4.302620019e-41,8.709530338e-07,3.277574716e-22,1.257552624e-06,7.434122343e-13
384.8395276,3.10844345e-07,1.959723392e-101,5.005884368e-07,1.761653041e-42,7.450393416e-07,6.421706827e-23,1.115127898e-06,3.186271821e-13
393.965734,6.939202969e-08,6.382773322e-105,2.234912165e-07,6.827335641e-44,4.419061194e-07,1.224109009e-23,7.93813976e-07,1.347013084e-13
403.3083622,-7.57151987e-08,1.812102647e-108,3.66920348e-08,2.504526443e-45,2.291015076e-07,2.270186098e-24,5.591125319e-07,5.616899828e-14
412.8725443,-3.022037316e-08,4.484508975e-112,5.283787309e-08,8.696479561e-47,2.195693781e-07,4.096137919e-25,5.213414191e-07,2.310241687e-14
422.6635346,7.872522396e-08,9.673992118e-116,1.439982694e-07,2.858280401e-48,2.857784027e-07,7.19050559e-26,5.551129538e-07,9.372469298e-15
432.6867114,9.294308028e-08,1.819094622e-119,1.551921326e-07,8.892209246e-50,2.765758869e-07,1.228049948e-26,5.134266762e-07,3.750477027e-15
442.9475811,3.663323788e-08,2.981697488e-123,9.270133742e-08,2.618532736e-51,1.975651287e-07,2.040536558e-27,4.065209909e-07,1.480317474e-15
453.4517803,-2.005732974e-08,4.260205984e-127,3.109160155e-08,7.298772602e-53,1.238552763e-07,3.298712562e-28,3.091190622e-07,5.763139004e-16
464.2050794,-1.566691087e-08,5.305866831e-131,2.971992745e-08,1.925684569e-54,1.11845783e-07,5.188195285e-29,2.765353049e-07,2.213090616e-16
475.2133856,3.584680363e-08,5.760243231e-135,7.944431123e-08,4.809101674e-56,1.504040121e-07,7.938892126e-30,2.937644664e-07,8.382531061e-17
486.4827463,7.363375988e-08,5.451098477e-139,1.194782645e-07,1.136805744e-57,1.796048351e-07,1.181885032e-30,3.005656455e-07,3.131749517e-17
498.0193521,8.745848674e-08,4.496617667e-143,1.298248532e-07,2.543618946e-59,1.803575135e-07,1.711836611e-31,2.825707381e-07,1.154076877e-17
509.8295407,4.370679731e-08,3.233304644e-147,7.657920054e-08,5.387178115e-61,1.195798016e-07,2.412243439e-32,2.079823312e-07,4.194868325e-18
521.9197999,-7.923288909e-09,2.026590575e-151,1.340057846e-08,1.079976013e-62,4.992661768e-08,3.307133322e-33,1.275948758e-07,1.503965242e-18
534.2967712,-2.975079313e-08,1.107246051e-155,-1.864899252e-08,2.049322822e-64,1.111239105e-08,4.411172265e-34,7.806536005e-08,5.318548682e-19
546.967254,-1.108851526e-08,5.273281924e-160,-4.586311648e-09,3.680867079e-66,1.881671631e-08,5.724375036e-35,7.481523479e-08,1.855172726e-19
559.9382087,2.017820086e-08,2.189155291e-164,2.461620989e-08,6.257968672e-68,4.273301913e-08,7.227263446e-36,8.897138049e-08,6.382802934e-20
573.2167606,1.365021085e-08,7.921927774e-169,1.837701728e-08,1.007071084e-69,3.350036446e-08,8.877515479e-37,7.23791013e-08,2.166079509e-20
586.8102044,-1.510238948e-08,2.498871455e-173,-1.141078881e-08,1.53401766e-71,2.163610145e-09,1.060915358e-37,3.630481326e-08,7.250587949e-21
600.7260073,-3.03079928e-08,6.870932506e-178,-2.697384507e-08,2.211790987e-73,-1.456263669e-08,1.233507461e-38,1.598574853e-08,2.393910605e-21
614.9718141,-3.628759029e-09,1.646820171e-182,2.728124953e-09,3.018570338e-75,1.380277596e-08,1.395322413e-39,3.999704251e-08,7.796119821e-22
629.5554504,3.158134289e-08,3.440609644e-187,4.164150861e-08,3.899437896e-77,5.129480434e-08,1.535603545e-40,7.298769104e-08,2.504291935e-22
644.4849276,3.540176031e-08,6.265898503e-192,4.714759622e-08,4.768109357e-79,5.573895338e-08,1.644202816e-41,7.427908824e-08,7.934640914e-23
659.7684473,1.823988979e-08,9.946952365e-197,2.72760434e-08,5.518663306e-81,3.479923018e-08,1.712787224e-42,5.155223034e-08,2.479736147e-23
675.4144051,-2.482498996e-09,1.376434183e-201,3.106608558e-09,6.045957377e-83,9.676461863e-09,1.735893943e-43,2.505760625e-08,7.64397998e-24
691.4313962,-5.261943469e-09,1.660273324e-206,-4.186244039e-09,6.269598868e-85,1.065589314e-09,1.711648984e-44,1.507272332e-08,2.324178515e-24
707.8282192,-2.816033481e-09,1.745671249e-211,-4.028935379e-09,6.154006083e-87,1.825594358e-10,1.642018218e-45,1.248703418e-08,6.970361402e-25
724.6138817,-5.232099461e-09,1.599941331e-216,-7.62102501e-09,5.717676485e-89,-4.048960444e-09,1.532544105e-46,6.959089754e-09,2.061944555e-25
741.7976047,-1.080549908e-08,1.278216399e-221,-1.334739125e-08,5.028341066e-91,-9.99380726e-09,1.39161704e-47,2.452935937e-10,6.016370083e-26
759.3888279,-1.185455891e-08,8.901505024e-227,-1.269986306e-08,4.185750794e-93,-9.09185587e-09,1.229414243e-48,6.242730522e-10,1.731521848e-26
777.397215,-4.676972315e-09,5.403575534e-232,-3.648085805e-09,3.298112765e-95,3.696330837e-10,1.056692167e-49,1.002728697e-08,4.915382075e-27
795.8326587,3.046240063e-09,2.859286942e-237,6.13705081e-09,2.459807517e-97,1.050277351e-08,8.8363006e-51,2.015407805e-08,1.376329631e-27
814.7052863,1.220908808e-08,1.318842653e-242,1.764741045e-08,1.7365218e-99,2.201018586e-08,7.188929441e-52,3.114924806e-08,3.801224427e-28
834.0254654,1.416952619e-08,5.302576667e-248,2.091916538e-08,1.160386979e-101,2.517640094e-08,5.690228497e-53,3.398450892e-08,1.035524636e-28
853.8038094,1.31036221e-08,1.858401972e-253,1.871859049e-08,7.33954175e-104,2.296352812e-08,4.381945152e-54,3.231931022e-08,2.782487571e-29
874.0511832,4.904795341e-09,5.677420845e-259,8.408978159e-09,4.394187005e-106,1.256328173e-08,3.283038034e-55,2.262947008e-08,7.374658314e-30
894.7787097,-3.963888304e-09,1.511893665e-264,-2.112382294e-09,2.490185025e-108,1.734330418e-09,2.393076802e-56,1.22194465e-08,1.927908625e-30
915.9977753,-5.419466486e-09,3.509539505e-270,-5.044182024e-09,1.335759251e-110,-1.462170961e-09,1.697106533e-57,9.565600867e-09,4.971264402e-31
937.7200366,-7.617541973e-10,7.101298242e-276,-1.309181093e-09,6.782163504e-113,2.346048396e-09,1.170936434e-58,1.42778897e-08,1.26439611e-31
959.9574264,1.409171245e-10,1.252518355e-281,2.431177049e-10,3.259506205e-115,4.301786948e-09,7.860121863e-60,1.706467141e-08,3.172015587e-32
982.7221607,-5.447493106e-09,1.92570241e-287,-4.383538547e-09,1.482787309e-117,4.113283619e-10,5.133304009e-61,1.435675224e-08,7.849162989e-33
1006.026745,-4.304377572e-09,2.580791848e-293,-2.673335248e-09,6.384830906e-120,3.000591794e-09,3.261643096e-62,1.84042408e-08,1.915787146e-33
1029.883982,3.03057565e-09,3.014918046e-299,6.692785544e-09,2.60233637e-122,1.325583526e-08,2.016265106e-63,2.957660557e-08,4.61218836e-34
1054.306977,8.576568923e-09,3.070130057e-305,1.374682226e-08,1.003970505e-124,2.121284869e-08,1.212636336e-64,3.844511971e-08,1.095223336e-34
1079.309146,7.460647239e-09,2.725189862e-311,1.308224272e-08,3.666249095e-127,2.154626077e-08,7.095536957e-66,3.985408721e-08,2.565276691e-35
1104.904225,4.22969455e-09,2.108605972e-317,1.025676637e-08,1.267262183e-129,1.955822444e-08,4.039352008e-67,3.844266816e-08,5.926545379e-36
1131.106274,3.495622095e-09,1.482196938e-323,9.452260016e-09,4.14624034e-132,1.952099156e-08,2.237226123e-68,3.858445194e-08,1.350532022e-36
1157.929686,5.976779823e-09,0,1.163639609e-08,1.284061906e-134,2.254662798e-08,1.205534957e-69,4.131252551e-08,3.035596413e-37
1185.389197,4.911118532e-09,0,1.063748549e-08,3.764098181e-137,2.246806827e-08,6.320064062e-71,4.017275281e-08,6.730061748e-38
1213.499892,6.980919294e-10,0,6.256930666e-09,1.044430186e-139,1.907700602e-08,3.223553619e-72,3.50913658e-08,1.471736089e-38
1242.277212,-2.924916491e-10,0,5.679998461e-09,2.743098354e-142,1.94648397e-08,1.599631922e-73,3.276103135e-08,3.174510027e-39
1271.736968,2.147845824e-09,0,9.15700543e-09,6.81941052e-145,2.383939935e-08,7.722838834e-75,3.336070792e-08,6.753973305e-40
1301.895341,4.404165626e-09,0,1.269515406e-08,1.604707131e-147,2.802760435e-08,3.627485016e-76,3.280290222e-08,1.417352419e-40
1332.768899,4.360671587e-09,0,1.457291833e-08,3.574277122e-150,2.997256133e-08,1.657700347e-77,2.882117541e-08,2.933811668e-41
1364.374603,5.569298692e-09,0,1.767711999e-08,7.535709564e-153,3.21560312e-08,7.370181369e-79,2.413669217e-08,5.989940201e-42
1396.729814,9.948120474e-09,0,2.400048181e-08,1.503846723e-155,3.615519488e-08,3.188027567e-80,2.042415156e-08,1.206281354e-42
1429.852307,1.357682277e-08,0,2.915664416e-08,2.840707302e-158,3.72038089e-08,1.341645279e-81,1.330840272e-08,2.39613132e-43
1463.760277,1.373157826e-08,0,2.991247729e-08,5.079171683e-161,3.174626968e-08,5.493195948e-83,-2.317931723e-10,4.694706967e-44
1498.472352,1.225858499e-08,0,2.759220769e-08,8.596126338e-164,2.090437002e-08,2.18818593e-84,-1.853092082e-08,9.072818785e-45
1534.0076,1.206033453e-08,0,2.458870705e-08,1.377070511e-166,7.239348577e-09,8.480375782e-86,-3.848731177e-08,1.729465314e-45
1570.385541,1.356879162e-08,0,2.038614319e-08,2.088108485e-169,-9.114796859e-09,3.197552758e-87,-5.939291414e-08,3.251751498e-46
1607.626161,1.45666809e-08,0,1.106869788e-08,2.997046146e-172,-3.088765701e-08,1.172983995e-88,-8.331998537e-08,6.030574882e-47
1645.749917,1.477806592e-08,0,-4.772388103e-09,4.071714261e-175,-5.789688133e-08,4.18637569e-90,-1.097832102e-07,1.103153514e-47
1684.777752,1.444836969e-08,0,-2.700870017e-08,5.236060403e-178,-8.815861235e-08,1.453637302e-91,-1.367012215e-07,1.990439878e-48
1724.731105,9.780852056e-09,0,-5.678041647e-08,6.373463373e-181,-1.209257131e-07,4.91072556e-93,-1.634264651e-07,3.542403664e-49
1765.631924,-1.040101446e-08,0,-9.871668099e-08,7.343275674e-184,-1.594417603e-07,1.614012949e-94,-1.935723872e-07,6.218460865e-50
1807.502679,-5.625701962e-08,0,-1.54326698e-07,8.008435129e-187,-2.050729657e-07,5.161074299e-96,-2.290251766e-07,1.076722121e-50
1850.366369,-1.304053181e-07,0,-2.217009297e-07,8.267019903e-190,-2.554279808e-07,1.605628076e-97,-2.679101866e-07,1.838909e-51
1894.246543,-2.476046657e-07,0,-2.949894169e-07,8.077813017e-193,-3.037491361e-07,4.859835193e-99,-3.047960339e-07,3.097795284e-52
1939.167306,-2.899700383e-07,0,-2.965116773e-07,7.47105787e-196,-2.869913081e-07,1.43109965e-100,-2.792206224e-07,5.147318749e-53
1985.153333,-2.609745574e-07,0,-2.624264373e-07,6.540544373e-199,-2.490189721e-07,4.100057575e-102,-2.378921243e-07,8.436169257e-54
