# Chain rule: x=log(S/K), vartheta=sigma_x/diff=du/dx
# Delta=dV/dS=vartheta/S, Gamma=d2V/dS2=(u_xx-u_x)/S2 (FD approx)
S,x,u_DPG,delta_DPG,gamma_DPG,delta_exact,gamma_exact,delta_error,gamma_error
5.096773467,-2.9765625,-2.395557479e-06,-1.329008291e-05,1.617718311e-05,3.753682343e-48,5.376682154e-47,1.329008291e-05,1.617718311e-05
5.341372733,-2.9296875,-6.228330237e-06,-9.333155801e-06,1.959243729e-05,1.118887783e-46,1.504842749e-45,9.333155801e-06,1.959243729e-05
5.597710562,-2.8828125,-7.752862003e-06,-3.475504282e-06,1.676208415e-05,3.157711508e-45,3.986679915e-44,3.475504282e-06,1.676208415e-05
5.866350301,-2.8359375,-7.102865792e-06,-5.334376214e-07,8.817573303e-06,8.437600775e-44,9.997124665e-43,5.334376214e-07,8.817573303e-06
6.14788233,-2.7890625,-5.29391559e-06,1.375675612e-06,4.45487014e-06,2.13466626e-42,2.37291586e-41,1.375675612e-06,4.45487014e-06
6.442925364,-2.7421875,-3.876815542e-06,2.035129408e-06,-2.335192258e-06,5.113397652e-41,5.331299268e-40,2.035129408e-06,2.335192258e-06
6.752127808,-2.6953125,-4.02886974e-06,-3.535374897e-08,-2.747034793e-06,1.159743655e-39,1.133776044e-38,3.535374897e-08,2.747034793e-06
7.076169187,-2.6484375,-6.209925728e-06,2.955865921e-07,9.042118485e-07,2.490530167e-38,2.282259284e-37,2.955865921e-07,9.042118485e-07
7.415761637,-2.6015625,-8.673128707e-06,5.647118223e-07,-3.588718176e-06,5.064116844e-37,4.348567143e-36,5.647118223e-07,3.588718176e-06
7.771651468,-2.5546875,-8.966177095e-06,-2.200303312e-06,-2.845228257e-06,9.749957837e-36,7.842795109e-35,2.200303312e-06,2.845228257e-06
8.14462081,-2.5078125,-8.928621018e-06,-1.509058892e-06,-6.839217946e-06,1.777436681e-34,1.338871972e-33,1.509058892e-06,6.839217946e-06
8.535489323,-2.4609375,-9.14805122e-06,-7.424356878e-06,-1.481351789e-05,3.068198712e-33,2.163469229e-32,7.424356878e-06,1.481351789e-05
8.945116009,-2.4140625,-1.125020331e-05,-1.336720884e-05,-1.181526028e-05,5.015065961e-32,3.309069484e-31,1.336720884e-05,1.181526028e-05
9.374401089,-2.3671875,-1.820370754e-05,-1.733631774e-05,-1.178216181e-05,7.762111045e-31,4.790761406e-30,1.733631774e-05,1.178216181e-05
9.824287991,-2.3203125,-2.78828393e-05,-2.372575539e-05,-9.187205721e-06,1.137626414e-29,6.56518078e-29,2.372575539e-05,9.187205721e-06
10.29576542,-2.2734375,-4.122480003e-05,-2.580108135e-05,-2.178233304e-06,1.578857978e-28,8.51593481e-28,2.580108135e-05,2.178233304e-06
