# Phase N2: vartheta and within-element gradient at tau=T
# vartheta = du/dx = sigma_x/diff
# vtheta_dx_raw = within-element d(vartheta)/dx via quarter-point FD
# gamma_exact = phi(d1)/(S*sigma*sqrt(tau))  [corrected formula]
x_c,S_c,vartheta_c,vtheta_dx_raw,delta_exact,gamma_exact
-1.69921875,18.28263013,-0.0026631324,-0.005817918464,1.879343839e-16,4.248167609e-16
-1.67578125,18.71619021,-0.002702290868,-0.009143907604,4.917273533e-16,1.0705998e-15
-1.65234375,19.16003187,-0.002748295371,-0.00729680232,1.269296964e-15,2.661267595e-15
-1.62890625,19.61439893,-0.002821937547,-0.003450376466,3.232400688e-15,6.525079484e-15
-1.60546875,20.079541,-0.00290948511,-0.000918105179,8.121058403e-15,1.578043388e-14
-1.58203125,20.55571359,-0.003028404211,-0.001799296251,2.012927295e-14,3.76433223e-14
-1.55859375,21.04317829,-0.003126094073,-0.002669158019,4.922369122e-14,8.85712605e-14
-1.53515625,21.54220288,-0.003199954994,-0.005431166518,1.187554728e-13,2.055576185e-13
-1.51171875,22.0530615,-0.003281518132,-0.004486886674,2.826632211e-13,4.705547943e-13
-1.48828125,22.57603479,-0.003347666297,-0.005391526787,6.637799968e-13,1.062484738e-12
-1.46484375,23.11141002,-0.003423142768,-0.005169364581,1.53787595e-12,2.366306907e-12
-1.44140625,23.65948132,-0.003466120836,-0.007341483884,3.5153128e-12,5.198227892e-12
-1.41796875,24.22054975,-0.003542745115,-0.006730995725,7.927852379e-12,1.126355365e-11
-1.39453125,24.79492353,-0.003642198374,-0.004100618088,1.764004056e-11,2.407306682e-11
-1.37109375,25.3829182,-0.003756768831,-0.002985637284,3.87257421e-11,5.074850861e-11
-1.34765625,25.98485676,-0.003865409159,-0.002998525305,8.388029214e-11,1.055239451e-10
-1.32421875,26.60106988,-0.004011399209,-0.00293969223,1.792603295e-10,2.164285887e-10
-1.30078125,27.23189607,-0.004147994777,-0.003262484703,3.779869142e-10,4.378386626e-10
-1.27734375,27.87768188,-0.004274822666,-0.004347380734,7.863974791e-10,8.736741027e-10
-1.25390625,28.53878205,-0.004416209129,-0.0009934728568,1.614302453e-09,1.719573286e-09
-1.23046875,29.21555976,-0.004585647445,0.001101671531,3.269716159e-09,3.338318655e-09
-1.20703125,29.9083868,-0.004738098598,-0.002785440184,6.534655665e-09,6.392500374e-09
-1.18359375,30.61764375,-0.004835877384,-0.007932531205,1.288630151e-08,1.207395653e-08
-1.16015625,31.34372025,-0.00494469335,-0.004213233672,2.507451239e-08,2.249387753e-08
-1.13671875,32.08701515,-0.005075168397,-0.0002395481882,4.814390714e-08,4.133471216e-08
-1.11328125,32.84793679,-0.00521185394,-0.004159355299,9.121392008e-08,7.492062334e-08
-1.08984375,33.62690316,-0.005323150039,-0.007417019977,1.705291105e-07,1.339441404e-07
-1.06640625,34.42434219,-0.005437942976,-0.005169047509,3.146013517e-07,2.362011074e-07
-1.04296875,35.24069194,-0.005563385428,-0.00436816679,5.727363145e-07,4.108431142e-07
-1.01953125,36.07640087,-0.005675332843,-0.00857396218,1.028937e-06,7.048650359e-07
-0.99609375,36.93192806,-0.005798126689,-0.007295453483,1.824194226e-06,1.192811444e-06
-0.97265625,37.80774349,-0.005904133195,-0.003624273569,3.191614164e-06,1.991010264e-06
-0.94921875,38.70432829,-0.005971869722,-0.002888527075,5.510817305e-06,3.278016034e-06
-0.92578125,39.62217499,-0.005969640065,-0.0003569602163,9.390697151e-06,5.323343871e-06
-0.90234375,40.56178779,-0.005889065029,0.007275443255,1.579306127e-05,8.526952457e-06
-0.87890625,41.52368287,-0.005624265578,0.01654705421,2.621395763e-05,1.347221593e-05
-0.85546875,42.50838863,-0.005059713412,0.03170655119,4.294459168e-05,2.099520411e-05
-0.83203125,43.51644602,-0.004053005578,0.05725594488,6.943949535e-05,3.227282925e-05
-0.80859375,44.54840879,-0.002345176236,0.09453084966,0.0001108256347,4.893164905e-05
-0.78515625,45.60484386,0.0004837625168,0.1573610473,0.0001745917728,7.317766323e-05
-0.76171875,46.68633157,0.004985476921,0.2509954143,0.0002715016293,0.0001079451403
-0.73828125,47.79346602,0.01201736286,0.3828264629,0.0004167758056,0.0001570592523
-0.71484375,48.9268554,0.02281461004,0.5834837432,0.0006315843416,0.0002254030712
-0.69140625,50.08712234,0.03907447821,0.8787801495,0.0009448821041,0.0003190744327
-0.66796875,51.27490422,0.06317734139,1.292613139,0.001395600932,0.0004455126656
-0.64453125,52.49085353,0.09837656992,1.87494324,0.002035183707,0.0006135698029
-0.62109375,53.73563825,0.1489916263,2.681616846,0.002930405142,0.0008334964851
-0.59765625,55.00994219,0.2207558527,3.775462388,0.004166372055,0.001116810378
-0.57421875,56.31446538,0.3210867391,5.253445465,0.0058495339,0.001476015716
-0.55078125,57.64992444,0.4594290469,7.20393658,0.008110466289,0.001924147655
-0.52734375,59.017053,0.6476084659,9.73515261,0.01110612228,0.002474125255
-0.50390625,60.41660208,0.9001189869,12.98848196,0.01502118725,0.003137912594
-0.48046875,61.84934051,1.23437566,17.08883504,0.0200681335,0.003925508073
-0.45703125,63.31605535,1.670893594,22.17589482,0.02648556231,0.00484380644
-0.43359375,64.81755233,2.233286201,28.39638991,0.03453445461,0.005895403823
-0.41015625,66.35465629,2.948215459,35.85885484,0.0444920357,0.007077440224
-0.38671875,67.92821162,3.844976749,44.68193092,0.05664309856,0.008380592698
-0.36328125,69.53908273,4.954786653,54.9299724,0.07126882233,0.009788341917
-0.33984375,71.18815456,6.310142064,66.60908397,0.088633357,0.01127663183
-0.31640625,72.87633299,7.943565424,79.70677164,0.1089687055,0.01281402433
-0.29296875,74.60454543,9.886247313,94.09946264,0.1324586924,0.01436241793
-0.26953125,76.37374124,12.16654175,109.6189609,0.1592230374,0.01587835285
-0.24609375,78.18489232,14.80830823,126.0219672,0.1893027135,0.017314869
-0.22265625,80.03899361,17.82949397,142.9655318,0.2226478409,0.0186238234
-0.19921875,81.93706364,21.24041123,160.0980722,0.2591093214,0.01975851732
-0.17578125,83.88014511,25.04258203,176.9662164,0.2984352431,0.02067643842
-0.15234375,85.86930543,29.22797855,193.1287533,0.3402727902,0.02134189533
-0.12890625,87.90563732,33.77842687,208.1425154,0.3841759939,0.02172831815
-0.10546875,89.99025944,38.66582498,221.5560722,0.4296191939,0.02182001831
-0.08203125,92.12431694,43.85294887,233.0192855,0.476015595,0.0216132453
-0.05859375,94.30898216,49.29431848,242.1810805,0.5227398491,0.02111644119
-0.03515625,96.54545522,54.93836064,248.7995889,0.5691532247,0.02034966878
-0.01171875,98.83496471,60.72944205,252.7968155,0.6146296825,0.0193432674
0.01171875,101.1787684,66.61068387,254.2888106,0.658581091,0.01813586185
0.03515625,103.5781537,72.52538357,253.547007,0.7004798982,0.01677190661
0.05859375,106.0344388,78.4195133,250.772467,0.7398778113,0.01529898239
0.08203125,108.5489731,84.24387689,246.2210989,0.7764194036,0.01376507325
0.10546875,111.1231378,89.95610105,240.1921682,0.8098500221,0.01221603819
0.12890625,113.7583471,95.52184671,233.0357608,0.8400178504,0.01069345657
0.15234375,116.4560485,100.9157909,225.1509651,0.8668704523,0.009232976085
0.17578125,119.2177241,106.121881,216.8932034,0.8904465211,0.00786323372
0.19921875,122.044891,111.133061,208.6457812,0.910863858,0.006605360592
0.22265625,124.9391022,115.9504843,200.6805602,0.9283047819,0.005473029017
0.24609375,127.9019476,120.5828208,193.2940277,0.943000221,0.004472958235
0.26953125,130.9350549,125.0445988,186.6773885,0.9552136702,0.003605768235
0.29296875,134.0400902,129.3550395,180.9769915,0.9652260376,0.002867059109
0.31640625,137.2187594,133.5364938,176.2876108,0.9733221756,0.002248595607
0.33984375,140.4728085,137.6133022,172.6390309,0.9797796353,0.001739490022
0.36328125,143.8040251,141.610367,170.0491943,0.9848599216,0.001327297874
0.38671875,147.2142393,145.5521084,168.4574454,0.9888022913,0.0009989660496
0.41015625,150.7053244,149.4622751,167.8291939,0.9918199434,0.0007415986516
0.43359375,154.2791982,153.3623516,168.0027082,0.9940983104,0.0005430289798
0.45703125,157.9378239,157.2717333,169.0142797,0.995795072,0.0003922048462
0.48046875,161.6832115,161.2090867,170.7056346,0.9970414812,0.0002794079617
0.50390625,165.5174183,165.1883799,172.8414044,0.9979445965,0.0001963362408
0.52734375,169.4425508,169.2218382,175.652502,0.9985900549,0.0001360811713
0.55078125,173.4607651,173.3243085,178.8989589,0.9990450808,9.303181178e-05
0.57421875,177.5742686,177.5027056,182.2654448,0.9993614882,6.273368399e-05
0.59765625,181.785321,181.7619375,186.0632031,0.9995785081,4.172592545e-05
0.62109375,186.0962357,186.1128898,190.2614501,0.9997253316,2.737455302e-05
0.64453125,190.5093807,190.5623579,194.5963652,0.9998233107,1.77142989e-05
0.66796875,195.0271805,195.113123,199.0167195,0.9998878041,1.130672353e-05
0.69140625,199.6521168,199.7670106,203.5157519,0.9999296775,7.118450191e-06
0.71484375,204.3867303,204.5265981,208.1278536,0.9999564942,4.420485812e-06
0.73828125,209.2336219,209.3927157,212.6148719,0.9999734342,2.707636902e-06
0.76171875,214.1954543,214.3628425,217.058919,0.9999839894,1.635862212e-06
0.78515625,219.2749531,219.4372172,221.6548222,0.9999904766,9.748524549e-07
0.80859375,224.4749088,224.6203369,226.5906007,0.9999944093,5.730162415e-07
0.83203125,229.7981778,229.9209727,231.9298038,0.999996761,3.322238805e-07
0.85546875,235.2476846,235.3469985,237.4846891,0.9999981481,1.899899526e-07
0.87890625,240.8264226,240.9033797,243.2218783,0.9999989551,1.071682885e-07
0.90234375,246.5374567,246.5938568,249.0609435,0.9999994181,5.96262956e-08
0.92578125,252.383924,252.4211156,255.0796984,0.9999996803,3.272240649e-08
0.94921875,258.3690363,258.3889615,261.2256176,0.9999998266,1.771285285e-08
0.97265625,264.4960814,264.5009066,267.5518964,0.9999999072,9.457310917e-09
0.99609375,270.7684252,270.7608525,274.0294465,0.999999951,4.98061179e-09
1.01953125,277.1895134,277.1726044,280.6700119,0.9999999745,2.587221374e-09
1.04296875,283.7628732,283.739771,287.461053,0.9999999869,1.32562401e-09
1.06640625,290.4921158,290.4652197,294.3466699,0.9999999933,6.699509469e-10
1.08984375,297.3809379,297.3515648,301.3745662,0.9999999967,3.339654365e-10
1.11328125,304.4331236,304.4019288,308.5194729,0.9999999984,1.642086051e-10
1.13671875,311.652547,311.6198561,315.8800028,0.9999999992,7.963906901e-11
1.16015625,319.0431742,319.0102777,323.4280816,0.9999999996,3.809713439e-11
1.18359375,326.6090651,326.5771275,331.1590268,0.9999999998,1.797605211e-11
1.20703125,334.3543758,334.3245283,339.0251843,0.9999999999,8.366276231e-12
1.23046875,342.2833614,342.2557,347.0511257,1,3.840660809e-12
1.25390625,350.4003774,350.3744442,355.2610555,1,1.739064064e-12
1.27734375,358.7098828,358.6857634,363.7164761,1,7.767139065e-13
1.30078125,367.2164426,367.1948646,372.3752048,1,3.421704129e-13
1.32421875,375.9247296,375.9065552,381.2165034,1,1.486824469e-13
1.34765625,384.8395276,384.8247965,390.2318467,1,6.372543641e-14
1.37109375,393.965734,393.953672,399.438367,1,2.694026168e-14
1.39453125,403.3083622,403.2981593,408.9049589,1,1.123379966e-14
1.41796875,412.8725443,412.8641954,418.6061092,1,4.620483374e-15
1.44140625,422.6635346,422.6571886,428.5403989,1,1.87449386e-15
1.46484375,432.6867114,432.6825476,438.6796484,1,7.500954055e-16
1.48828125,442.9475811,442.9449883,449.0584844,1,2.960634948e-16
1.51171875,453.4517803,453.4505523,459.7069102,1,1.152627801e-16
1.53515625,464.2050794,464.2051083,470.6197728,1,4.426181231e-17
1.55859375,475.2133856,475.2151055,481.7883559,1,1.676506212e-17
1.58203125,486.4827463,486.4861888,493.2064532,1,6.263499033e-18
1.60546875,498.0193521,498.0243087,504.8866897,1,2.308153754e-18
1.62890625,509.8295407,509.8357965,516.8515191,1,8.389736651e-19
1.65234375,521.9197999,521.9270849,529.0945571,1,3.007930484e-19
1.67578125,534.2967712,534.3049879,541.6387383,1,1.063709736e-19
1.69921875,546.967254,546.9762602,554.482242,1,3.710345453e-20
1.72265625,559.9382087,559.9479398,567.6313799,1,1.276560587e-20
1.74609375,573.2167606,573.2271563,581.0846457,1,4.332159018e-21
1.76953125,586.8102044,586.8211314,594.8586231,1,1.45011759e-21
1.79296875,600.7260073,600.7374478,608.9722149,1,4.78782121e-22
1.81640625,614.9718141,614.9838983,623.4150641,1,1.559223964e-22
1.83984375,629.5554504,629.5683273,638.2089001,1,5.00858387e-23
1.86328125,644.4849276,644.4987404,653.3327306,1,1.586928183e-23
1.88671875,659.7684473,659.7830353,668.8202188,1,4.959472293e-24
1.91015625,675.4144051,675.4298191,684.6795746,1,1.528795996e-24
1.93359375,691.4313962,691.4473879,700.9119669,1,4.648357029e-25
1.95703125,707.8282192,707.8448463,717.5292771,1,1.39407228e-25
1.98046875,724.6138817,724.6308541,734.5351134,1,4.123889111e-26
2.00390625,741.7976047,741.8149577,751.9626738,1,1.203274017e-26
2.02734375,759.3888279,759.4065372,769.7962759,1,3.463043696e-27
2.05078125,777.397215,777.4155086,788.0617651,1,9.83076415e-28
2.07421875,795.8326587,795.8516034,806.7505697,1,2.752659262e-28
2.09765625,814.7052863,814.7250692,825.8886354,1,7.602448854e-29
2.12109375,834.0254654,834.046249,845.4784202,1,2.071049273e-29
2.14453125,853.8038094,853.8256041,865.5244327,1,5.564975141e-30
2.16796875,874.0511832,874.0739991,886.0468657,1,1.474931663e-30
2.19140625,894.7787097,894.8023887,907.0485006,1,3.855817249e-31
2.21484375,915.9977753,916.0222386,928.5602397,1,9.942528804e-32
2.23828125,937.7200366,937.7452464,950.5814784,1,2.52879222e-32
2.26171875,959.9574264,959.9834898,973.1293117,1,6.344031174e-33
2.28515625,982.7221607,982.7491899,996.2007135,1,1.569832598e-33
2.30859375,1006.026745,1006.054758,1019.832974,1,3.831574291e-34
2.33203125,1029.883982,1029.913255,1044.034396,1,9.224376719e-35
2.35546875,1054.306977,1054.337846,1068.805206,1,2.190446672e-35
2.37890625,1079.309146,1079.341851,1094.152557,1,5.130553381e-36
2.40234375,1104.904225,1104.938824,1120.102896,1,1.185309076e-36
2.42578125,1131.106274,1131.14288,1146.668069,1,2.701064044e-37
2.44921875,1157.929686,1157.968378,1173.865063,1,6.071192827e-38
2.47265625,1185.389197,1185.430175,1201.701037,1,1.34601235e-38
2.49609375,1213.499892,1213.543102,1230.191557,1,2.943472179e-39
2.51953125,1242.277212,1242.322628,1259.365816,1,6.349020055e-40
2.54296875,1271.736968,1271.784689,1289.235852,1,1.350794661e-40
2.56640625,1301.895341,1301.945506,1319.808682,1,2.834704838e-41
2.58984375,1332.768899,1332.821561,1351.105303,1,5.867623337e-42
2.61328125,1364.374603,1364.429684,1383.133656,1,1.19798804e-42
2.63671875,1396.729814,1396.787232,1415.932042,1,2.412562708e-43
2.66015625,1429.852307,1429.911973,1449.4949,1,4.79226264e-44
2.68359375,1463.760277,1463.821717,1483.837904,1,9.389413935e-45
2.70703125,1498.472352,1498.534811,1518.980413,1,1.814563757e-45
2.73046875,1534.0076,1534.069995,1554.949131,1,3.458930628e-46
2.75390625,1570.385541,1570.446664,1591.768764,1,6.503502995e-47
2.77734375,1607.626161,1607.684515,1629.439723,1,1.206114976e-47
2.80078125,1645.749917,1645.803634,1667.993378,1,2.206307029e-48
2.82421875,1684.777752,1684.824676,1707.45114,1,3.980879757e-49
2.84765625,1724.731105,1724.768812,1747.842402,1,7.084807328e-50
2.87109375,1765.631924,1765.657724,1789.163857,1,1.243692173e-50
2.89453125,1807.502679,1807.513183,1831.439378,1,2.153444241e-51
2.91796875,1850.366369,1850.357521,1874.691952,1,3.677818001e-52
2.94140625,1894.246543,1894.213591,1918.956276,1,6.195590567e-53
2.96484375,1939.167306,1939.105569,1964.344051,1,1.02946375e-53
2.98828125,1985.153333,1985.068412,2012.653647,1,1.687233851e-54
