x,S,Delta_DPG,Delta_exact
-1.962890625,14.045184,-0.0007890981131,1.475505841e-21
-1.951171875,14.21074418,-0.0008005635844,2.580336862e-21
-1.939453125,14.37825594,-0.0008116712141,4.49714257e-21
-1.927734375,14.54774227,-0.0008251590364,7.811273914e-21
-1.916015625,14.71922645,-0.0008389973533,1.352172909e-20
-1.904296875,14.89273203,-0.0008482172285,2.332748609e-20
-1.892578125,15.06828285,-0.0008595331647,4.010783222e-20
-1.880859375,15.245903,-0.0008714230531,6.872522678e-20
-1.869140625,15.42561688,-0.0008784945633,1.173624371e-19
-1.857421875,15.60744917,-0.0008878664484,1.997414552e-19
-1.845703125,15.79142484,-0.0008957770372,3.387924035e-19
-1.833984375,15.97756916,-0.0008996100112,5.7269804e-19
-1.822265625,16.16590769,-0.0009060577056,9.648160671e-19
-1.810546875,16.35646629,-0.0009091960551,1.619908103e-18
-1.798828125,16.54927114,-0.0009101221805,2.710587776e-18
-1.787109375,16.74434871,-0.0009155300714,4.520266617e-18
-1.775390625,16.9417258,-0.0009197566506,7.512635895e-18
-1.763671875,17.1414295,-0.0009203291951,1.244367283e-17
-1.751953125,17.34348724,-0.0009229245438,2.054154119e-17
-1.740234375,17.54792678,-0.0009276352551,3.379449121e-17
-1.728515625,17.75477619,-0.0009281730579,5.54099171e-17
-1.716796875,17.96406388,-0.0009289454411,9.054366037e-17
-1.705078125,18.17581858,-0.0009317843558,1.474544275e-16
-1.693359375,18.39006937,-0.0009311508661,2.39324455e-16
-1.681640625,18.60684569,-0.0009306191388,3.871204421e-16
-1.669921875,18.8261773,-0.0009306332834,6.240726876e-16
-1.658203125,19.04809432,-0.0009298346715,1.002662048e-15
-1.646484375,19.27262723,-0.000930388111,1.605478882e-15
-1.634765625,19.49980686,-0.0009301532066,2.562037807e-15
-1.623046875,19.72966441,-0.0009320106131,4.074719237e-15
-1.611328125,19.96223146,-0.0009334276132,6.458644372e-15
-1.599609375,20.19753992,-0.0009333292244,1.020274179e-14
-1.587890625,20.43562213,-0.0009357216762,1.606292318e-14
-1.576171875,20.67651078,-0.0009367707158,2.520372656e-14
-1.564453125,20.92023895,-0.0009362758392,3.94128428e-14
-1.552734375,21.1668401,-0.0009349505183,6.142482521e-14
-1.541015625,21.41634811,-0.0009334356735,9.540774088e-14
-1.529296875,21.66879725,-0.0009323581806,1.476920664e-13
-1.517578125,21.92422217,-0.00093010093,2.278583539e-13
-1.505859375,22.18265797,-0.0009301483329,3.503542179e-13
-1.494140625,22.44414012,-0.000928850337,5.368892773e-13
-1.482421875,22.70870454,-0.0009283556186,8.199690937e-13
-1.470703125,22.97638757,-0.0009306563815,1.248090292e-12
-1.458984375,23.24722595,-0.0009317046975,1.893349112e-12
-1.447265625,23.52125689,-0.0009330042386,2.862542758e-12
-1.435546875,23.79851803,-0.000935004278,4.313306052e-12
-1.423828125,24.07904743,-0.0009368487721,6.477478931e-12
-1.412109375,24.36288362,-0.0009367592458,9.694817264e-12
-1.400390625,24.65006558,-0.0009373387142,1.44614414e-11
-1.388671875,24.94063275,-0.0009400375059,2.149920174e-11
-1.376953125,25.23462504,-0.000938699199,3.185461491e-11
-1.365234375,25.53208282,-0.0009388366794,4.703943953e-11
-1.353515625,25.83304693,-0.0009408272894,6.92296551e-11
-1.341796875,26.13755871,-0.0009414032809,1.015460312e-10
-1.330078125,26.44565998,-0.0009427180143,1.484482273e-10
-1.318359375,26.75739305,-0.000944929086,2.162862365e-10
-1.306640625,27.07280074,-0.0009476396322,3.140690215e-10
-1.294921875,27.39192634,-0.0009481147719,4.545317508e-10
-1.283203125,27.7148137,-0.0009502053474,6.556118981e-10
-1.271484375,28.04150716,-0.0009524338353,9.424829189e-10
-1.259765625,28.37205157,-0.0009522834484,1.350345211e-09
-1.248046875,28.70649234,-0.0009538755931,1.92824139e-09
-1.236328125,29.04487538,-0.000955206331,2.744251396e-09
-1.224609375,29.38724718,-0.0009564960076,3.892538631e-09
-1.212890625,29.73365475,-0.000957459559,5.502868996e-09
-1.201171875,30.08414567,-0.0009604585297,7.753419792e-09
-1.189453125,30.43876806,-0.0009631764167,1.088794704e-08
-1.177734375,30.79757062,-0.0009649604481,1.523870248e-08
-1.166015625,31.16060264,-0.0009686608555,2.125690346e-08
-1.154296875,31.52791396,-0.0009699662808,2.955308209e-08
-1.142578125,31.89955504,-0.0009711794555,4.095030112e-08
-1.130859375,32.2755769,-0.0009727637688,5.655405484e-08
-1.119140625,32.65603118,-0.0009742755659,7.784371224e-08
-1.107421875,33.04097015,-0.0009742844462,1.067916514e-07
-1.095703125,33.43044665,-0.0009756093334,1.460178318e-07
-1.083984375,33.82451417,-0.0009784375087,1.989895165e-07
-1.072265625,34.22322684,-0.0009783170629,2.70278257e-07
-1.060546875,34.62663941,-0.0009804457599,3.658891757e-07
-1.048828125,35.03480728,-0.0009836991887,4.936811071e-07
-1.037109375,35.4477865,-0.0009865906342,6.63900395e-07
-1.025390625,35.86563379,-0.0009879647471,8.898561972e-07
-1.013671875,36.28840653,-0.0009894866257,1.188771135e-06
-1.001953125,36.71616279,-0.0009911651439,1.582848177e-06
-0.990234375,37.14896129,-0.000990609929,2.100602867e-06
-0.978515625,37.58686149,-0.000991404389,2.778519583e-06
-0.966796875,38.02992352,-0.0009912926409,3.66310146e-06
-0.955078125,38.47820823,-0.0009909033376,4.813396176e-06
-0.943359375,38.93177717,-0.0009905602184,6.304093959e-06
-0.931640625,39.39069264,-0.00099048713,8.229310037e-06
-0.919921875,39.85501766,-0.0009900145954,1.070718135e-05
-0.908203125,40.324816,-0.0009886753471,1.388542661e-05
-0.896484375,40.80015217,-0.0009870923518,1.79480397e-05
-0.884765625,41.28109145,-0.0009838912475,2.312330849e-05
-0.873046875,41.76769989,-0.000979213016,2.96933748e-05
-0.861328125,42.26004432,-0.0009714878803,3.800557486e-05
-0.849609375,42.75819235,-0.0009627149123,4.848582423e-05
-0.837890625,43.26221239,-0.0009502981059,6.165433425e-05
-0.826171875,43.77217366,-0.0009353040404,7.814396971e-05
-0.814453125,44.28814619,-0.0009163919456,9.872157651e-05
-0.802734375,44.81020085,-0.0008920876203,0.0001243126243
